"","N All","Spearman Correlation All","Spearman P-value All","RMSE","MAE","R2","NRMSE"
"zebularine",113,0.53837000747714,7.73482047372085e-10,1.42367363201662,1.10720429218603,0.283278569687322,0.145388982423367
"maraviroc",233,-0.146340626140928,0.0254950054426628,0.608754918826221,0.441426077552813,-0.00534910602779615,0.129272030499718
"DL-TBOA",113,0.154576255872188,0.1021036590736,0.419834464135779,0.295742777525694,-0.225338610396849,0.194981638554607
"triptolide",137,0.119813352975244,0.16314891607117,4.14672334025626,1.49449653760906,-9.05664811212295,0.629091123451821
"Bax channel blocker",233,0.157799611436868,0.0159142437350824,0.816600940581536,0.676712792152566,0.0248370968644709,0.194809137025034
"CCT036477",137,0.350982806284754,2.60987485429661e-05,0.797854401663168,0.612441272520119,0.0830727735861427,0.188742998122438
"sirolimus",233,0.333904993022976,1.78907619197201e-07,1.14024821312928,0.893950980340362,0.108716822515419,0.140381954396788
"OSW-1",137,-0.0379442484192244,0.659781196893978,1.40479996450594,1.11419621900908,-0.0522613242004162,0.243729443049398
"brefeldin A",136,0.095170127580043,0.270407672675149,0.983241851849635,0.797652808321119,-0.00649101121175777,0.197537288166677
"itraconazole",232,0.3475354323274,5.47107341511629e-08,1.00321983009006,0.790767323418451,0.12076439927611,0.177231663296539
"dexamethasone",233,0.168289608720073,0.0100706504772829,1.1349597057668,0.686908395249116,-0.167480400654112,0.110164807138429
"teniposide",113,0.507459456121923,9.67389275723813e-09,1.49075560033873,1.17355310452188,0.252271550225607,0.180169805592432
"ML162",136,0.456842582832314,2.26520815495266e-08,1.74321390827624,1.4735941421005,0.207923544900151,0.264220921042688
"SN-38",136,0.545932315732444,6.25252558131605e-12,1.53137041297168,1.23348521911666,0.297954838472413,0.185757125686117
"ciclosporin",233,-0.0698875999136588,0.288076759291381,1.0654086772089,0.848146466924478,-0.0183672662413907,0.161227686809961
"PK-11195",113,0.116780493090846,0.218019811050166,0.805787428198858,0.639887069024307,-0.0174592203666339,0.203015149076329
"isoevodiamine",136,0.39029849373829,2.63643611648932e-06,1.68397689629631,1.1181465655492,-0.255773711442731,0.227204602480437
"idarubicin",136,0.302493758905773,0.000344486186251956,1.46047311338585,1.12480615513828,0.0626178063809201,0.189196629943214
"Compound 44",113,0.187575226344192,0.0466484914838,1.16191154684028,0.917741879894913,0.0232933547597924,0.20923279313554
"blebbistatin",113,0.185586926861838,0.0490665422045757,1.11819384182932,0.897533220660477,0.0301645028814862,0.177069491976139
"myriocin",136,-0.0328342164722539,0.704333335701774,1.33560832802062,0.594610441459134,-2.41949994005406,0.206039265078849
"etoposide",136,0.573367730729969,2.97901509657052e-13,1.47145104924833,1.1831703371033,0.311584658328393,0.175344121963054
"oligomycin A",233,0.387177794242879,9.44388130012759e-10,1.53502913562301,1.21601073933041,0.149118129914161,0.162983137418192
"chaetocin",114,0.284745309568017,0.00213650955852685,1.3765342331469,1.09945609367491,0.0519926869123928,0.226769172868587
"RITA",233,0.177216380048274,0.00668701413826087,1.54907828576255,1.16960184604644,0.0301569063904935,0.201676746838893
"tubastatin A",137,0.500500788570182,4.72701286685096e-10,0.703304107351729,0.559490125387031,0.217271426649785,0.147205581629598
"3-chloro-L-alanine",114,-0.028241955653119,0.765491070498876,9.69294184612707,1.61850348206801,-79.3637525336905,1.89263518688778
"BMS-299897",136,0.00642392405092277,0.940831784600414,0.480579588218663,0.344557955180728,-0.00493724807706308,0.116986267823433
"Compound 110",113,0.175137051781659,0.0635391061167382,0.948368323372147,0.754721253281518,0.0300852689736422,0.170834082100398
"Merck60",233,0.528807420764662,3.45824819470869e-18,1.26493631219752,1.00108056885852,0.272253807127055,0.152067234196235
"BIBR-1532",113,0.0137431435718562,0.885126114559436,0.84348774049373,0.663353887996244,-0.0337708203480531,0.186806577745384
"LDN-193189",204,0.415632154928313,6.33382617376434e-10,0.905843749539977,0.720248646262705,0.171290816902837,0.158904623157411
"ML030",136,0.59017900479291,3.99487647549543e-14,0.767574460508661,0.617785267405839,0.341182397590711,0.160496489390206
"ubistatin B",113,0.111155215244257,0.241159082207919,1.44231844983319,1.10584640081503,-0.0148577570562685,0.163350372591419
"LE-135",113,0.181189512922733,0.0547841629355073,1.10407790099656,0.813832665242099,0.026755484627792,0.158379294658886
"rotenone",113,0.248031749416665,0.00807724201487567,1.49469113471524,1.17810382896425,0.0497097218718229,0.173217390994223
"FGIN-1-27",136,-0.350275159325527,2.91001903912804e-05,0.481593274012353,0.392163247891309,-0.0272335463511792,0.189357635360497
"avrainvillamide",233,0.220383992220035,0.000704887434310425,1.22434100261195,0.987853352193104,0.0473697913294712,0.203487069972735
"SR-II-138A",137,0.556989903031986,1.56872141154935e-12,1.01562732617088,0.752572714057339,0.296189114702804,0.152201105986558
"BEZ235",114,0.128859722669757,0.171817633751429,1.15090690135588,0.936229218302204,0.00832293042941068,0.201531642038923
"TG-101348",233,0.439143135681662,2.10376836775726e-12,1.02099671553239,0.828232552403144,0.192603541302332,0.157637120887277
"4-methylfasudil",113,0.272435927477946,0.0035085832508208,1.25058391228256,0.908529065528351,0.00842854091204048,0.169253994191555
"XAV-939",233,-0.0273253842914966,0.678187172899738,0.681915769168217,0.526765380561944,-0.0151148256252442,0.165529607041513
"BMS-754807",137,0.319259957087094,0.000143179343738579,1.35853384630977,1.10644557354525,0.0979976042894813,0.215217714790129
"BRD6368",233,0.299996456079918,3.1245810675492e-06,1.05895104362586,0.810632894863493,0.0794874240705198,0.138756355849311
"gemcitabine",113,0.3967171062085,1.36035440345062e-05,1.71544175056748,1.39539700602014,0.142697514314755,0.195780197232561
"Compound 4",233,-0.0940039637706558,0.152613606274236,0.459680947657027,0.305136989354808,-0.0193302938969351,0.0808984104144569
"Gly-Gly-PALO",113,-0.200506206277459,0.033222322975756,0.436469689097374,0.320816564542029,-0.0148153911538826,0.151446803989373
"SCH-79797",232,0.41690376126786,3.60039390319278e-11,0.955731735354925,0.761050177131919,0.173286864064767,0.190847479917434
"HLI 373",136,0.119252853926599,0.166720518460064,0.752361574169658,0.591278839171707,-0.0534911925261319,0.195438896033265
"indisulam",232,0.561584697722726,1.1069011854852e-20,1.62685196492222,1.27904079446938,0.312556686745829,0.168139125299564
"Compound 10b",113,-0.244773383233001,0.00897722090146134,1.34002538815124,1.02326715092681,-0.0532085252616665,0.151497808767175
"dalcetrapib",113,-0.149126311301344,0.114925070728907,1.04764479851183,0.7580217080008,-0.0505891132969418,0.155677127691368
"leucascandrolide A",114,0.077956493781365,0.40969514029916,6.45663978928761,2.0853205729462,-11.4534063205204,0.930523849053839
"gossypol",233,0.297135079120391,3.91484075732926e-06,1.03970160126418,0.80828786482664,0.0862991449813734,0.148969323752265
"MST-312",233,0.540187337635977,4.73749717227682e-19,1.28756939297584,1.03586947628401,0.288599403154436,0.16709551897666
"tamatinib",137,-0.0112310958072205,0.896363714357966,1.39583399626466,1.03746570954333,-0.269339960611928,0.163482975868713
"SKI-II",113,0.217042209761253,0.0209360535710747,1.51874211441066,1.087548586667,-0.21353363057071,0.21480285619069
"simvastatin",233,0.106131910249642,0.106118614280532,1.07164759464991,0.861378756090044,0.0105275979794536,0.160806637653418
"piperlongumine",233,0.491712055379425,1.37591451628244e-15,0.989778082639086,0.788227376625981,0.237145723074759,0.171512504616122
"4-IPP",113,-0.0855816837675575,0.367436473473308,0.844271197750588,0.558002548683428,-0.0395207739798618,0.139256634461641
"CD-1530",113,-0.0662254190835766,0.485850285143815,1.1764671679111,0.94506412686216,-0.0591035349734172,0.176766158502156
"austocystin D",232,0.435442469516566,3.74815808379851e-12,2.01862706942353,1.63091897763561,0.189168154427087,0.261868277770662
"cytochalasin B",232,0.22291420237864,0.000625925730071905,1.1420867798771,0.912107494513359,0.047695433166171,0.170917343331752
"BIX-01294",232,0.105249297313892,0.109844046954409,1.06886624498941,0.804717959150847,0.00230768028141526,0.119888536255892
"ML007",233,0.103950567732502,0.113537066457243,0.455388571568414,0.351901653598939,0.0104717405131628,0.150800904552756
"CD-437",233,0.414516062922796,4.33260832730594e-11,1.39525860517966,1.10915350216009,0.171746260464347,0.180331601977058
"Compound 1541A",233,-0.0436711406002949,0.507111227578474,0.951546966025034,0.758572578690178,-0.0474069676230844,0.164014576328088
"PP-30",233,-0.00593655429379507,0.928183105445249,1.0212477892034,0.797202594815634,-0.0147448367337546,0.172470198977151
"VER-155008",233,0.414100114698078,4.55026522920155e-11,0.833357154848355,0.643313364663375,0.16803716909511,0.146994718016043
"etomoxir",113,-0.20049951962474,0.0332283160319545,0.999302425455335,0.775033997632649,-0.0293128518371306,0.1908850691401
"AGK-2",233,-0.0748675887166441,0.255013500213146,0.917361502490935,0.703225082339872,-0.0236938768418704,0.172342426589065
"BMS-536924",233,0.226898602907618,0.000482180393350028,1.28677371453404,1.0211958546279,0.043256417228456,0.168468216427956
"glibenclamide",233,-0.186608418686438,0.0042593827179315,0.382714199989185,0.280002158614832,-0.0207910447859421,0.140332282190226
"LY-2183240",233,0.580453789632739,2.2012392376894e-22,1.04873737284196,0.842958218083131,0.336436835562938,0.136332627386186
"nakiterpiosin",233,0.49893213109779,4.53981498825855e-16,1.36736060369907,1.12089377378246,0.248264223983494,0.15070494713096
"MK-591",113,-0.0753830165304226,0.427455863765907,1.15530772890759,0.953985764943769,-0.0320582251970556,0.212834407152941
"ML159",113,-0.167139977430603,0.0768210348486052,0.465919303029287,0.300178424259647,-0.0108235009033901,0.120054446914192
"Compound 12",233,-0.0106280874760095,0.87180768040225,0.506791947197144,0.34902192734174,-0.00186630893083284,0.0927426017379713
"2,4-dideoxy-DC-45-A2",136,0.473691269979992,5.72817000873688e-09,1.18164775079317,0.957887953189578,0.224037886379049,0.223335869283708
"NVP-AUY922",113,0.16500159326597,0.0807274343070754,1.07227878503411,0.788122986998879,-0.135781685798607,0.18283608454552
"vismodegib",233,-0.15531985897644,0.0176672030735759,0.381035128798065,0.278908013291525,-0.0189093920919323,0.133001196829929
"JZL-184",233,-0.137364341949504,0.0361316969064229,0.50171110989669,0.355696850807705,-0.0153341414600245,0.115553712722071
"GMX-1778",136,0.398599903792871,1.53790411656619e-06,2.01564619453267,1.70214798668971,0.155175594920868,0.245436071862643
"BX-795",136,0.274029044548211,0.00124559431300798,1.00942345017439,0.81792332713364,0.0744340348105179,0.171711538491204
"BMS-641988",233,-0.138622122666668,0.0344456511312006,0.434027934200628,0.297894287269621,-0.0494322519143289,0.101500884965419
"P-0850",205,0.164830207703748,0.0181886171987872,0.937847019674473,0.722619127577619,0.0270663564389951,0.147780879845336
"PIK-75",136,0.37223090137386,8.10927107376191e-06,0.874276405589187,0.666456279264593,0.137827669945387,0.135681359114344
"PRIMA-1-Met",136,0.401868020603307,1.23885272074576e-06,1.0889552148937,0.844385304250597,0.157699995917615,0.17560111829676
"TTNBP",136,0.468060476128739,9.14456637109374e-09,0.617743720342706,0.392372743935884,0.21116092367179,0.0879087703807696
"capsaicin",113,0.314197071573456,0.000701285698215926,0.852107831425881,0.650390702220819,0.09193668663642,0.180138221978708
"ML160",113,0.320817842820156,0.00053127840382003,0.398540301720327,0.279789360948445,0.0892571729913335,0.162875598398107
"ML150",136,0.240527313291536,0.00479268109356255,0.748702770260675,0.570640151582478,0.000995256492390073,0.186050089523551
"cerulenin",113,0.256552806001587,0.00608921162739718,1.05618852391268,0.827741069979091,0.0613611097288924,0.163656278400403
"AZD-7545",113,0.070141382031345,0.460372986572856,1.02594505401988,0.809815490910038,-0.0323376298211535,0.177628216700696
"tivozanib",205,0.261475520315177,0.000152499759279222,1.02533048517715,0.736478237425344,0.0674863053512539,0.129231989944221
"BEC",113,-0.0831041658028132,0.381518347191204,1.70185952418601,0.70725316200013,-2.4592016110171,0.201072735285862
"BRD55319",233,-0.00433227523488649,0.94755778046174,1.09734754104461,0.762112895703265,-0.391731894901908,0.150189907621348
"CHEMBL1222381",113,0.280191911941563,0.00264870255450858,1.42305284801344,1.10269178358656,0.0562911092223849,0.159994248967152
"MK 1775",205,0.429053411470355,1.37427069573506e-10,1.25172091542999,1.01448656699659,0.183808789927705,0.183601670888098
"pemetrexed",113,-0.0972505203915358,0.30549333699999,1.40778661955018,1.01545650908037,-0.0467787430382531,0.176731061871547
"ABT-737",233,0.503991451474218,2.05478321151982e-16,1.427488986224,1.12580757467766,0.250459635077897,0.167718551439119
"BRD4372",113,0.0579457990278654,0.542102904089868,0.419680053309865,0.306211623319879,-0.0309895613926043,0.142230675199059
"CHEMBL374350",233,-0.0800654458777617,0.223403100019762,0.693616424540573,0.544549012470262,-0.0189354284371692,0.141079309374672
"serdemetan",205,0.340856273722171,5.70182166119363e-07,1.15066029837097,0.858323244190344,0.0832636984483042,0.143318382598798
"SB-225002",233,0.552209347750522,5.33745458231636e-20,1.35874049960402,1.13013729374784,0.302426498876639,0.172249097656131
"Compound 7d-cis",233,0.388032049617924,8.61294178228392e-10,1.15376495635491,0.902861666787728,0.149331048481095,0.167755451178877
"neopeltolide",113,-0.0195601544456209,0.837075967563051,1.31876460508239,0.99765313608427,-0.242733511652868,0.235733622630605
"tipifarnib-P2",233,0.560936854597418,1.03431534395836e-20,0.997606056779607,0.781216478354714,0.301780338843182,0.141120277822439
"tipifarnib-P1",233,0.309509671743012,1.4509276099143e-06,0.826120227980364,0.605951903532398,0.0947141670308462,0.129485929150527
"ATRA",113,0.585021969037988,1.01479652074344e-11,1.00211421666009,0.732736500328878,0.340307675868166,0.130061936775311
"Ko-143",113,0.351087959463582,0.000137439733463235,0.975959983380016,0.767826812723225,0.122684768677101,0.176197866651023
"BI-2536",137,0.400690808459835,1.22307783684258e-06,1.32673885210839,1.04807042504965,0.160493790104735,0.188730829396764
"quinoclamine",233,0.0658581695375838,0.316845201153647,1.03489401577521,0.792019202595741,-0.0171403271915485,0.140953407849962
"Compound 23 citrate",233,0.266507068330279,3.7730930843649e-05,0.846000959665854,0.642601393062019,0.0703910180658919,0.136390172126435
"MLN-4924",233,0.421485002020649,1.88674998129808e-11,1.715917477231,1.42996484143949,0.177034743219346,0.221333082223131
"PI-103",233,0.246723702299892,0.000141915473375601,1.41535594015248,1.10547923297922,0.047061413330011,0.196745814142464
"NSC95397",232,0.449445398360949,6.18130405394264e-13,1.12672367038505,0.917156765085334,0.201439821295112,0.183048756260446
"PF-3845",232,0.0595182193214645,0.366813498560366,1.34892164662578,0.611495749832721,-2.89947107610007,0.313607896827884
"SNX-2112",136,0.216629169034203,0.0113044200139934,0.844996508157785,0.646440650813587,0.0273621186851652,0.184529286372682
"BRD4770",136,0.348094150359483,3.28714462136616e-05,1.07118445472265,0.846564864948768,0.11765554169266,0.173899226390897
"BRD1812",204,0.236056765898621,0.000676299344870347,0.945498638540399,0.740283689097521,0.0519251437379719,0.164277410918321
"NSC632839",233,0.132557949492215,0.0432325409340534,1.03077019056333,0.8031168639112,-0.0407814748091258,0.171087584598242
"WT-161",233,0.258944908442362,6.33962568859229e-05,1.12210275807406,0.895898565969258,0.0296275152575913,0.20656126467133
"N-oxalyl-D-phenylalanine",113,-0.257522413028354,0.00589314428932759,0.442114269084133,0.294452015574366,-0.0170298682975589,0.126720246806768
"losartan",113,0.00617278310181971,0.948262683666962,0.471492117315727,0.362136443331594,-0.0275947843181321,0.166799489622431
