"","N All","Spearman Correlation All","Spearman P-value All","RMSE","MAE","R2","NRMSE"
"zebularine",113,0.192922804715647,0.0406315626916571,2.00061359464775,1.38341647260014,-0.415324219390547,0.204307481860277
"maraviroc",233,-0.028616242780893,0.663890688667979,0.636001025240661,0.450469278314264,-0.0973560459426079,0.135057872043631
"DL-TBOA",113,-0.0338073175240456,0.722228095252688,0.575137096311501,0.3402409700467,-1.29954919784941,0.267108069994195
"triptolide",137,0.100930322924243,0.240581651726543,3.7765938611396,1.30610915296564,-7.34149122883368,0.572939518742705
"Bax channel blocker",233,0.0520859710450475,0.428757712628909,0.866549489249677,0.696422442216799,-0.0981057388298108,0.206724912746237
"CCT036477",137,0.34836792144535,3.02433918533932e-05,1.147278365584,0.661294174241956,-0.895942605021218,0.271403852570023
"sirolimus",233,0.346348886998138,5.72236050864913e-08,1.14422679463148,0.890766446236305,0.102486198005536,0.140871778489977
"OSW-1",137,0.233813124169656,0.0059620610013559,1.53201757488862,1.04925894216336,-0.25147485457855,0.265801395005597
"brefeldin A",136,-0.0543036026238267,0.53006842773698,1.92679627677596,0.962529491354948,-2.86510045063014,0.387101210803808
"itraconazole",232,0.165873219647737,0.0113928459681568,1.11781460768452,0.842341448156138,-0.0915725603224764,0.197476302037721
"dexamethasone",233,0.361266332925873,1.36477699041923e-08,0.994573982334195,0.634887716124417,0.103473976539277,0.0965382739070191
"teniposide",113,0.33873699077562,0.000242645527513654,1.79023864862813,1.3088190244732,-0.0783329189275628,0.216364740950225
"ML162",136,0.225381916621634,0.00833583456510774,3.18824392442915,1.60803358447635,-1.64952987499962,0.483245769335574
"SN-38",136,0.465390230950606,1.13821647465463e-08,1.68029723415994,1.2635166486242,0.154766363689668,0.203822133346685
"ciclosporin",233,0.18611694989274,0.00436337806936302,1.07512610139499,0.835210605112254,-0.0370287177887429,0.162698219063724
"PK-11195",113,0.177311358958193,0.0602711908507508,1.01006866655907,0.706517129071248,-0.598739978743001,0.254483048187011
"isoevodiamine",136,0.396788696971906,1.73198970484066e-06,1.94212395508031,1.18953596858739,-0.67029437974933,0.262034177637622
"idarubicin",136,0.266770266242588,0.0016927691770651,1.67181863931089,1.19316943243698,-0.228309732124826,0.216575334071422
"Compound 44",113,0.120115168461084,0.205070013408454,1.45787985361462,1.00503475733319,-0.537664104499947,0.262529686237596
"blebbistatin",113,-0.0982989234813281,0.300283914124879,1.80895181900768,1.10987612309042,-1.53815349655594,0.286453177990131
"myriocin",136,0.0107332405680192,0.90130083948842,0.87874484477255,0.538784304536104,-0.480232529878767,0.135560656676265
"etoposide",136,0.435661654365525,1.151750125082e-07,1.81887522799827,1.20344796369172,-0.0518764174276047,0.216744607288584
"oligomycin A",233,0.414595147213517,4.29238595873514e-11,1.5328509907897,1.1703565648527,0.151531151264318,0.162751870877091
"chaetocin",114,0.150332658670564,0.110374692015947,1.87831330434851,1.30361852762268,-0.765117920574846,0.309431864575881
"RITA",233,0.221018463557012,0.000679618441969619,1.60406034416358,1.17974812985495,-0.039910945773733,0.208834940698261
"tubastatin A",137,0.171563172134567,0.045007485515258,1.24792267837426,0.698016895199007,-1.46433777831951,0.261197370779719
"3-chloro-L-alanine",114,0.451856057395085,4.50202889004383e-07,1.1004096292438,0.806701867108933,-0.0357567147819575,0.214865003562268
"BMS-299897",136,0.076708667330564,0.374744798901922,0.490540027380223,0.352948071445883,-0.0470253669508938,0.119410912215244
"Compound 110",113,0.132322864341348,0.162376462208898,1.08773432967327,0.827351702092671,-0.275925000292585,0.195938741519845
"Merck60",233,0.326524276811245,3.43649007797583e-07,1.72397196238976,1.110765367086,-0.351770670207331,0.207251262869534
"BIBR-1532",113,0.107246019075702,0.258211082052491,0.933047131867468,0.704090174134208,-0.264951528764285,0.206641226910165
"LDN-193189",204,0.277815432047765,5.74373552122184e-05,1.0767421195748,0.777787993601372,-0.170897749612138,0.188883900601661
"ML030",136,0.306393450868461,0.000285844118121969,1.10123410803331,0.756764261695197,-0.356074253254892,0.230263274026829
"ubistatin B",113,0.0633952006215,0.504721783355643,1.78160583648252,1.26151788204816,-0.548481821215316,0.201776505898627
"LE-135",113,0.183799634419736,0.0513278296408927,1.23835015689695,0.90279069923637,-0.224360915846024,0.177640567040632
"rotenone",113,0.210288311542728,0.0253779041361564,1.9040744954831,1.33783466875631,-0.542130904698608,0.220660181027339
"FGIN-1-27",136,0.137410168869736,0.110656407526776,0.601387527833085,0.436569160938912,-0.60183287276875,0.23645953203833
"avrainvillamide",233,0.239219458746147,0.000228215649949863,1.29394571120668,1.00950582607192,-0.0640246077217941,0.215055463237383
"SR-II-138A",137,0.535085236437722,1.62784750604169e-11,1.07090552927174,0.78461399822132,0.217490630126367,0.160485053682826
"BEZ235",114,-0.00180204752915694,0.984818311911429,1.92183062929169,1.12408436923794,-1.76515896939491,0.336525640766913
"TG-101348",233,0.183624732369086,0.00492676446641635,1.45419116526072,0.913024803698645,-0.637876507953252,0.224520319237151
"4-methylfasudil",113,0.228465074396716,0.014937297661105,1.40534607518679,1.0154464424662,-0.252174666043956,0.190199501297476
"XAV-939",233,0.120462367945123,0.0664199413015293,0.693845894580216,0.531496893716853,-0.0509444220255759,0.168425549708762
"BMS-754807",137,0.0369919317591846,0.667807389659598,2.34652856389059,1.36477200700601,-1.69102948154636,0.371734952781695
"BRD6368",233,0.317714859344986,7.32492258723897e-07,1.10227673277802,0.842100077222972,0.00262324719852514,0.144433402751148
"gemcitabine",113,0.221715661692113,0.018269110360633,2.20686704863579,1.51406851446047,-0.418843424029309,0.251865658455046
"Compound 4",233,-0.0567378388354518,0.388631142930213,0.490141457032273,0.322197967002262,-0.158896892576485,0.0862590998261717
"Gly-Gly-PALO",113,0.115998209000541,0.221139883182487,0.497743830517288,0.336337887751345,-0.319746862532459,0.172707782969219
"SCH-79797",232,0.281037946658172,1.39008963898005e-05,1.12833669551828,0.787729021979479,-0.152285903291601,0.225314496601977
"HLI 373",136,0.124253436677477,0.149514589610157,0.822035071464435,0.59633584055917,-0.257645930194915,0.213537788722058
"indisulam",232,0.388375232641283,9.025134350184e-10,2.02414044735954,1.39384897551769,-0.0641971856194636,0.209199860614714
"Compound 10b",113,0.113825847886137,0.229969323527011,1.59474392758472,1.09476558251138,-0.491661315477483,0.180295248664777
"dalcetrapib",113,0.140553489756699,0.13757738933591,1.30137294724957,0.815952953141149,-0.62109446455713,0.19338043082049
"leucascandrolide A",114,-0.0733940581754126,0.437722183212346,2.53988854376141,1.72407792071264,-0.927100482947306,0.366045952854586
"gossypol",233,0.246890203145327,0.000140403737398383,1.11440942313698,0.863155431194918,-0.0497264905406138,0.159673523582161
"MST-312",233,0.400384605441147,2.20692215139411e-10,1.4691628766268,1.12841927501969,0.0737828289123247,0.190661982702011
"tamatinib",137,-0.0373289049914527,0.664962999150768,2.25858590092028,1.16732170233393,-2.3234077999469,0.264530270308415
"SKI-II",113,0.231582375998009,0.0135858373017076,1.47825068876083,1.11871116402392,-0.149687804214119,0.209075962995139
"simvastatin",233,0.156643707057689,0.0167115050596775,1.11209306646767,0.891830002906019,-0.06556995037835,0.166875703980624
"piperlongumine",233,0.496738947687952,6.37555676435909e-16,0.999443766059966,0.800136262852457,0.222173657955197,0.173187410942519
"4-IPP",113,0.101071050656407,0.286792431926964,0.933996600302022,0.583553127887391,-0.27221296296572,0.154056212628371
"CD-1530",113,-0.0588084194544522,0.536096106065084,1.37515692535753,0.947429434867516,-0.447049257831941,0.206619626678316
"austocystin D",232,0.246579848437687,0.000148084998317507,2.66567347306636,1.80159378170808,-0.413944986132303,0.345806975475748
"cytochalasin B",232,0.174256247318495,0.00780850359901748,1.30052168920956,0.976266957042293,-0.234846164357189,0.19462769027844
"BIX-01294",232,0.280777499693342,1.41691454576784e-05,1.06267678245844,0.778701366012608,0.0138288598777326,0.119194300090678
"ML007",233,0.0674540013740016,0.305235165874764,0.459234441203094,0.354164772286214,-0.00631245886820997,0.15207445566034
"CD-437",233,0.427008140277043,9.63021207977136e-12,1.52004312052943,1.11267361545317,0.0169721943136226,0.196459502189547
"Compound 1541A",233,0.0253457187543654,0.700336150173872,1.05475373294124,0.796361159998262,-0.286936572882471,0.181803939075641
"PP-30",233,-0.00341864469534169,0.958606102826491,2.12943233262212,0.9369392652145,-3.4118656553997,0.359622436394394
"VER-155008",233,0.442746600216019,1.32346836010205e-12,0.828019998441067,0.640594226134326,0.178659498161321,0.146053304365807
"etomoxir",113,0.0732149752099797,0.440904058679842,1.16987427142103,0.826645777515207,-0.410690988082851,0.223467416366646
"AGK-2",233,0.018707275095572,0.776377210637995,1.09689188542445,0.771322802140745,-0.463580893604992,0.206070353646405
"BMS-536924",233,0.229377993145537,0.000416108955045653,1.28979840445171,1.01059129725367,0.0387532885423484,0.168864217768302
"glibenclamide",233,-0.0131149298885735,0.84216681515863,0.418046692460064,0.297254092671666,-0.217971937627459,0.153287874912021
"LY-2183240",233,0.536583980432294,8.96272460387623e-19,1.12388370718929,0.836793000522436,0.237935851472549,0.14610141933097
"nakiterpiosin",233,0.343570392685353,7.413051066887e-08,1.65952817653915,1.15229672923409,-0.10730778854969,0.182906473560147
"MK-591",113,0.00800288640565766,0.932955215813689,1.31098122500823,0.992802125542721,-0.328929022305512,0.241513066027086
"ML159",113,0.167259493033801,0.0766072696533477,0.535474616404918,0.358575833495434,-0.33515504131132,0.137976916798917
"Compound 12",233,-0.00339416442861161,0.958902255166356,0.525032683311726,0.35179410365064,-0.075283643373897,0.0960806447637891
"2,4-dideoxy-DC-45-A2",136,0.264989507046508,0.00182275468782145,1.5589550982399,1.13341016769925,-0.350615300280043,0.294648377070045
"NVP-AUY922",113,0.175628356546193,0.0627883391534534,1.68132643058464,0.904712772175696,-1.79243784153041,0.286685837397418
"vismodegib",233,0.0961775786631997,0.143306966117768,0.387630557932137,0.286132306908849,-0.0544877652212195,0.135303346689985
"JZL-184",233,0.0821558737845322,0.211510126207245,0.514206961168979,0.366525909213243,-0.0665407586859437,0.11843174747086
"GMX-1778",136,0.431456254966698,1.57019634837973e-07,2.07165798025582,1.64967489788492,0.107570413689413,0.252256372321717
"BX-795",136,0.237064348334523,0.00545550423179812,1.09883835940227,0.820448636417717,-0.0968019669066289,0.186921777192235
