"","N All","Spearman Correlation All","Spearman P-value All","RMSE","MAE","R2","NRMSE"
"zebularine",113,-0.0714441659426352,0.452063468890895,5.48861231115376,5.17273513132743,-9.65257543029786,0.5605103170343
"maraviroc",233,0.0456352882183442,0.488179430133688,4.70515086632508,4.29344118798283,-59.0591298509828,0.999161382498797
"DL-TBOA",113,-0.0895706806400432,0.345445215139997,5.99085488901411,5.83887108574336,-248.504018652649,2.78230303223765
"triptolide",137,-0.0922660148591316,0.283567281228374,3.04809524277866,2.67906009669343,-4.43375681657363,0.462420447019569
"Bax channel blocker",233,0.0184743658202077,0.77908910747495,3.22457122415906,2.90288066497854,-14.2055231967761,0.769256935960462
"CCT036477",137,0.00657367510548964,0.939229181407145,4.05349932869362,3.59153814992701,-22.6672494745562,0.95890881167052
"sirolimus",233,0.0014559190630888,0.9823648915164,3.61551781623169,3.21321875169528,-7.96102978293616,0.445125413357229
"OSW-1",137,0.122520897968936,0.15377885104357,2.0291904069966,1.49340395300876,-1.19553433932698,0.352059695497217
"brefeldin A",136,-0.00366134232376019,0.966256161337604,4.06217082927614,3.62119908674632,-16.1793035979517,0.816106645761154
"itraconazole",232,0.157997330807665,0.016009730226789,3.34565587776076,2.97751420667241,-8.77857534536954,0.591053065587979
"dexamethasone",233,0.0379432805102086,0.564431527777816,4.28268821989748,3.83418804487554,-15.6234679314913,0.415698918104116
"teniposide",113,0.122210343455938,0.197221240451052,4.0549263530996,3.69247494982301,-4.53218822145843,0.49007046665703
"ML162",136,0.0269241295749378,0.755690512376399,2.66684689298599,2.07384179652279,-0.853795848818518,0.404217026378227
"SN-38",136,0.0284892111697311,0.741975325807178,2.82091152705461,2.29993861991912,-1.38222883712336,0.342180058228792
"ciclosporin",233,0.0999490716668951,0.128193847342431,2.97756423125117,2.57373999081545,-6.95415866018544,0.450593095027492
"PK-11195",113,0.0798668638922917,0.400403336982046,4.1215749467161,3.86934146225664,-25.6196560756722,1.03841549638863
"isoevodiamine",136,-0.0095408316126369,0.912219226984745,3.49469963042904,3.04762556910294,-4.40827588712773,0.471509937022586
"idarubicin",136,0.087978288415458,0.308440111227726,4.57203638462483,4.06564982410294,-8.18647553502068,0.592283327930216
"Compound 44",113,0.133540962996335,0.158509981790352,3.59686585205606,3.26342167832743,-8.35979827419143,0.647710482614719
"blebbistatin",113,-0.0322984867747351,0.734151150126301,4.5597258050314,4.13392866044248,-15.1265452131692,0.722046841651845
"myriocin",136,-0.0786866625038941,0.362517177904614,5.03061718850678,4.84306630334559,-47.5117458556507,0.776054361647376
"etoposide",136,-0.00271267403726301,0.974995998003114,3.94401059448562,3.46216280227206,-3.94578289227664,0.469984424596614
"oligomycin A",233,-0.0332052459337567,0.614072181905973,2.89426312628699,2.43447834512876,-2.02490714225728,0.307301062819621
"chaetocin",114,-0.0422050348863419,0.655699078136766,3.47562080930526,2.95244409572596,-5.04369351357846,0.572571053557586
"RITA",233,0.157423134104311,0.0161701832150353,4.02349443342661,3.61027670128755,-5.54276850712051,0.52382457085339
"tubastatin A",137,0.0254200759724618,0.768104021323683,4.51870260533009,4.16421747974453,-31.31114881696,0.945790360493561
"3-chloro-L-alanine",114,-0.191695886586231,0.0410341199433319,4.79104535708901,4.49181870585965,-18.6340348756615,0.935495246824893
"BMS-299897",136,-0.212525939599041,0.012990643913307,4.92876339015988,4.6150885825,-104.702252378743,1.19979634619276
"Compound 110",113,0.111746796930752,0.238648374317865,3.81168750319067,3.56281275576991,-14.6680176756832,0.686617340344898
"Merck60",233,0.0803519739730305,0.221745437235107,3.91563041113736,3.56678744214592,-5.97342297025252,0.470726534620464
"BIBR-1532",113,0.0694087340045515,0.465082789318582,4.93164244211064,4.61668671469027,-34.3386441542489,1.09220703875947
"LDN-193189",204,-0.0175376928863956,0.803385296786484,2.62466825696846,2.34507415364804,-5.95735886589233,0.460423688410497
"ML030",136,0.0212328042821253,0.806179999675281,4.09034010693156,3.78081671786765,-17.7086738220065,0.855272369457723
"ubistatin B",113,-0.00694336744385188,0.941814692276738,4.98903891492433,4.5885446862531,-11.1427384523273,0.565035665820007
