"","N All","Spearman Correlation All","Spearman P-value All","RMSE","MAE","R2","NRMSE"
"zebularine",113,0.319684560682184,0.000557385991589873,1.6424774877264,1.30034641549368,0.0460439675189538,0.167733759496251
"maraviroc",233,0.0657947174394737,0.317312701533757,0.616881548121624,0.437972729461396,-0.032370270003298,0.130997759257952
"DL-TBOA",113,0.0938097487067603,0.323003225139515,0.389233444924791,0.289933567424449,-0.0532227818851554,0.180769758928474
"triptolide",137,0.216774703123274,0.0109476826482955,1.30565474848362,1.02739854508301,0.00298925950668505,0.19807827654907
"Bax channel blocker",233,0.17446077019486,0.00760305522291148,0.821334456327002,0.669299910716502,0.0134990560902846,0.195938369275013
"CCT036477",137,0.441612561839921,6.59368429682747e-08,0.757718020580307,0.583149018894915,0.17300514068084,0.17924820698815
"sirolimus",233,0.263658883838592,4.59598188670539e-05,1.18669133491714,0.926087860202783,0.0346329946672074,0.146099811377221
"OSW-1",137,0.25666152715498,0.00246582292763637,1.3491255193822,1.04509259895439,0.0294914907243226,0.234070059617633
"brefeldin A",136,0.300402573095222,0.000380336791110651,0.973802398646738,0.794412242762304,0.0127415300016224,0.195640863615618
"itraconazole",232,0.355598219597285,2.54471212309839e-08,1.01001555187053,0.784626819800943,0.108812327480153,0.17843221479914
"dexamethasone",233,0.268985331317888,3.17214917142037e-05,1.04808836926977,0.726676562109686,0.00440085398480905,0.101732645201378
"teniposide",113,0.40993131355894,6.51403062373539e-06,1.60381422790191,1.31861489477524,0.134555684179142,0.19383385015076
"ML162",136,0.439597326330458,8.58491162468808e-08,1.80251142119736,1.41131376953891,0.15312016955886,0.273208712733183
"SN-38",136,0.473115888443166,6.01095121152222e-09,1.6464146872224,1.36484093783723,0.188510303651372,0.199712138484091
"ciclosporin",233,0.15812177857876,0.0156980429410114,1.07194024939162,0.829511967943827,-0.0308919027394285,0.162216105899066
"PK-11195",113,0.205807972947891,0.0287489757193563,0.808461669106922,0.628234604500098,-0.0242238981866401,0.20368891413845
"isoevodiamine",136,0.492169694829121,1.16131768227732e-09,1.32860681236188,1.07179728143341,0.218314457746431,0.179257555919797
"idarubicin",136,0.245470372428581,0.00397126824178831,1.49007438092293,1.20331851749021,0.0242344909618624,0.193031318859246
"Compound 44",113,0.247057568611712,0.00833757679003463,1.16562197983953,0.918059890735828,0.0170453903581428,0.209900954375771
"blebbistatin",113,0.341823771242158,0.000210974916236495,1.09013623133616,0.903669344573133,0.0782239258462306,0.172626481605092
"myriocin",136,-0.0916445782999783,0.288635267625072,0.800315139941254,0.559648589492309,-0.227796607760732,0.123461601582965
