"","N All","Spearman Correlation All","Spearman P-value All","RMSE","MAE","R2","NRMSE"
"zebularine",113,0.504790766689656,1.18928497184729e-08,1.46274441031281,1.13329364489381,0.243399887320528,0.149378984465426
"maraviroc",233,-0.0101212894533454,0.877871654379432,0.622014283402312,0.437227616866953,-0.0496213221197008,0.132087720244274
"DL-TBOA",113,0.121848819770401,0.19855983396306,0.377990310583109,0.276764870029499,0.00674381261770152,0.175548165791895
"triptolide",137,0.375760194101566,6.04493007355242e-06,1.21469677655746,0.956368227335767,0.137063398980071,0.184279224128469
"Bax channel blocker",233,0.13587671052222,0.0382155802262315,0.82231727959748,0.67629611397711,0.0111367147310729,0.196172832577289
"CCT036477",137,0.51026279996892,1.89733024560687e-10,0.717199021519905,0.548726726009733,0.259087444208685,0.16966290251701
"sirolimus",233,0.388926423203038,7.81899392295225e-10,1.11317258592197,0.866670199247496,0.150541994285911,0.137048531533138
"OSW-1",137,0.267145803157675,0.00160075057504771,1.32295455162893,1.04327245278346,0.0667790436974668,0.229529459136616
"brefeldin A",136,0.323340280874705,0.000123223024424152,0.927706039413213,0.744351487107843,0.103995983987152,0.186379917511444
"itraconazole",232,0.376245825871571,3.24358967587642e-09,0.992861149292092,0.776331109899425,0.138827639402898,0.175401669338767
"dexamethasone",233,0.376716761606478,2.85591793055969e-09,0.973265728899523,0.60308060127897,0.141477711983043,0.0944699893519287
"teniposide",113,0.561185090107141,1.01048794194413e-10,1.43938023482217,1.1414299079823,0.30292087787109,0.173960679418259
"ML162",136,0.591376525639635,3.44677216955426e-14,1.65117572023167,1.38813997335343,0.289355617995522,0.250270587867408
"SN-38",136,0.559857361423154,1.38105479679408e-12,1.53099827401047,1.22823524287966,0.298296005587398,0.185711984769717
"ciclosporin",233,0.19979690416686,0.0021816434657774,1.03504245909128,0.806215843547926,0.0388563450607612,0.156632384360298
"PK-11195",113,0.352602473642748,0.000127977791873483,0.747557304078842,0.583869725073746,0.124280509912457,0.188344285626173
"isoevodiamine",136,0.609414817870425,3.46040818418018e-15,1.19780299337993,0.971653929431373,0.364654559227962,0.161609315163003
"idarubicin",136,0.359458814918389,1.72478440133455e-05,1.40894509015293,1.13395893193628,0.1275958899158,0.18252144485836
"Compound 44",113,0.343389197646574,0.000196419653623461,1.10420407748869,0.892667337758112,0.117902278489816,0.198841042550005
"blebbistatin",113,0.265940330208132,0.00441322019886346,1.09667223994061,0.887258552536872,0.0671376100275014,0.173661479008806
"myriocin",136,-0.0101610251550879,0.906538199471218,0.735168217452838,0.499815211715687,-0.0360430714313082,0.113411631281002
"etoposide",136,0.582678084264159,9.93149078403813e-14,1.45475391521105,1.1556115869902,0.32711945518504,0.173354423217341
"oligomycin A",233,0.508542737264554,9.95764982052696e-17,1.43881130099515,1.12876606893448,0.252444046256068,0.152767119885163
"chaetocin",114,0.41462104578279,4.51109885583972e-06,1.29171047839725,1.05309240842105,0.165227718320561,0.212795373858728
"RITA",233,0.282236517757657,1.21855610058279e-05,1.50979388038994,1.12504253085436,0.0787233448651382,0.196562253175232
"tubastatin A",137,0.473333919850648,5.18083427628657e-09,0.700419517643969,0.546549523333333,0.22367895504328,0.146601820466745
"3-chloro-L-alanine",114,0.573087247937535,2.67803102588808e-11,0.895675063378175,0.732683180643275,0.313801191522126,0.174888714683129
"BMS-299897",136,-0.0370962558934052,0.668092456868432,0.495110813937298,0.362682680122549,-0.0666283579335236,0.120523567170715
"Compound 110",113,0.243111547544279,0.00946937378876375,0.935477160937994,0.727419757551622,0.0562741435316725,0.16851193589689
"Merck60",233,0.584495847915396,9.5992892113713e-23,1.21026631066491,0.966333364351931,0.333800180179829,0.145494953958564
"BIBR-1532",113,0.294565063450363,0.00154004023414276,0.79353932706783,0.642074685309734,0.0850367946989975,0.175744541241519
"LDN-193189",204,0.456435715261651,6.82913443132747e-12,0.889006970761235,0.696918680310458,0.20181070288034,0.155951087309336
"ML030",136,0.606422437887323,5.11810531063404e-15,0.768255395893052,0.625550449044118,0.340012970445207,0.160638870024684
"ubistatin B",113,0.359791073356111,9.07730585763074e-05,1.33669230038962,1.04001741675516,0.128342742342327,0.151387639348286
"LE-135",113,0.288396650847076,0.00195023048426222,1.07221649458771,0.811381300530973,0.0821166363451656,0.15380879553983
"rotenone",113,0.297561297653566,0.00137057081418198,1.46538643278046,1.12986062120649,0.0866069523537364,0.169821315447168
"FGIN-1-27",136,-0.000189191586769959,0.998255850551423,0.483341952119039,0.389927578210784,-0.0347069149312762,0.190045198017945
"avrainvillamide",233,0.335319057560395,1.57565584304876e-07,1.18266981913797,0.948324127968526,0.111112929211461,0.196561264981048
"SR-II-138A",137,0.662151309982583,1.244671018643e-18,0.919629328300448,0.716718943323601,0.422950789845072,0.13781492212573
"BEZ235",114,0.174153468097116,0.063861452978979,1.1427733256011,0.90864120997076,0.0222899669678021,0.200107397492663
"TG-101348",233,0.485033690615976,3.74995636725001e-15,1.00155868755562,0.827257402294707,0.223053785512026,0.154635980218195
"4-methylfasudil",113,0.417936783190689,4.10579713895129e-06,1.14151255307746,0.868873593362831,0.173848442141572,0.154492279270985
"XAV-939",233,0.051128923101914,0.437300369543616,0.685719189349286,0.532229670844063,-0.0264701149314617,0.166452856915547
"BMS-754807",137,0.348738835067211,2.96200074282641e-05,1.34101265804995,1.07443724523844,0.121114054000405,0.212442023843651
"BRD6368",233,0.378324126438569,2.4154653662255e-09,1.02200981001158,0.788590306978541,0.142590897566212,0.133915876218312
"gemcitabine",113,0.468890921056016,1.62228096855643e-07,1.63781521636836,1.32439861452507,0.2185306760573,0.186920824321206
"Compound 4",233,-0.152816231856927,0.0196052748212673,0.470590324035395,0.305952945722461,-0.0682869175121403,0.0828183316383434
"Gly-Gly-PALO",113,0.0275797656576213,0.77183738067402,0.439910050076648,0.32092040297935,-0.0308764882907535,0.152640544787178
