"","N All","Spearman Correlation All","Spearman P-value All","RMSE","MAE","R2","NRMSE"
"zebularine",113,0.473949451974474,1.14283274859346e-07,1.50007641628294,1.16467229823009,0.204287329096781,0.153191418887024
"maraviroc",233,-0.113062652298942,0.0850566858537134,0.627715025694051,0.442198688340487,-0.0689489828305798,0.133298300247192
"DL-TBOA",113,0.106915867283503,0.259688053439536,0.377889929148956,0.275487922359882,0.00727129302506802,0.175501546140143
"triptolide",137,0.379088689676558,4.9203870690627e-06,1.21760172905173,0.960364863326034,0.132931030508808,0.184719928674745
"Bax channel blocker",233,0.166028114382533,0.0111385788371143,0.816061830012536,0.672853501716738,0.0261242545545928,0.194680526268557
"CCT036477",137,0.52181179694664,6.20357685518439e-11,0.717789765628131,0.550113543600973,0.257866388483464,0.169802650839357
"sirolimus",233,0.407946362725432,9.32338655712339e-11,1.10697577673754,0.866025524746781,0.159973195911698,0.136285609763722
"OSW-1",137,0.335043802524132,6.28221322710733e-05,1.29620535587364,1.0316501614399,0.104135646628955,0.224888537476463
"brefeldin A",136,0.340808443330132,4.90681388327885e-05,0.925378293812034,0.744097063553921,0.108486744419273,0.185912263950183
"itraconazole",232,0.370073935345676,6.09657201797454e-09,0.997328839976101,0.781401355373563,0.131059970893644,0.176190944258652
"dexamethasone",233,0.40910898232825,8.15080950780735e-11,0.961244103547868,0.595620782864092,0.162555393735129,0.0933031108877627
"teniposide",113,0.59998113463752,2.17478392423239e-12,1.41045998273599,1.11438112782596,0.330651115505206,0.170465434325859
"ML162",136,0.491687369813343,1.21218727024762e-09,1.75367073132017,1.49081718294044,0.19839236200438,0.265805873642441
"SN-38",136,0.57842604463625,1.6472474962123e-13,1.52135268579104,1.23608728483701,0.307109897725524,0.184541962985297
"ciclosporin",233,0.215468750351357,0.000932066311988175,1.03099209707325,0.80303838974249,0.0463639842920606,0.156019445388727
"PK-11195",113,0.349742669513249,0.000146385486241526,0.749703244029585,0.592232992064896,0.119245608355483,0.188884947224707
"isoevodiamine",136,0.632444825015829,1.47461445399631e-16,1.1900411452736,0.974928507213235,0.372862047012745,0.160562075371655
