"","N All","Spearman Correlation All","Spearman P-value All","RMSE","MAE","R2","NRMSE"
"zebularine",113,0.0547062319456102,0.564952810941594,2.78717679006327,1.66755843267235,-1.74699925008474,0.284633211031188
"maraviroc",233,0.0506419048954273,0.441684618323983,1.18380752741276,0.670003191020927,-2.80184252065852,0.251387213567935
"DL-TBOA",113,0.0851238299118654,0.37001450263895,0.671042737684668,0.389160265966744,-2.13040339436333,0.311649051497616
"triptolide",137,0.0516680479639055,0.548760494294311,3.21514017680537,1.46806408291968,-5.04564938291732,0.487762500634195
"Bax channel blocker",233,0.117480840756462,0.07348192124934,1.40010655985781,0.891915925367949,-1.86668253648063,0.334010821093041
"CCT036477",137,0.293349930184028,0.000503335428906323,1.83671894257703,0.830351619066545,-3.85929189673571,0.434500128353765
"sirolimus",233,0.182373013654093,0.00523368705616703,1.61818075151709,1.08193550682881,-0.79502693867966,0.199222742776162
"OSW-1",137,0.121745548440272,0.156419790487083,2.83671725405062,1.48389821932481,-3.29068600265267,0.492163677311547
"brefeldin A",136,-0.0764792426270088,0.376179195622536,3.88906126984352,1.35099770446662,-14.7463086133501,0.781328231008241
"itraconazole",232,0.15157619991642,0.020908614664323,1.38282012339116,0.999247532540381,-0.670492116556528,0.244292928785647
"dexamethasone",233,0.236544087852444,0.000269366633341776,1.35074907307301,0.85281977825073,-0.653628956533996,0.131110391295314
"teniposide",113,0.0612159622018026,0.519508133133312,7.90261844012541,2.44509798970355,-20.0122729223082,0.955095005314782
"ML162",136,0.326830272106556,0.000102969814888067,2.44572929465823,1.5962904645652,-0.559130654120411,0.370701979709813
"SN-38",136,0.175238590706024,0.0412935266818905,4.69532360884002,1.92690635554083,-5.59987342106427,0.569548562748951
"ciclosporin",233,0.13124193026408,0.0453696223802888,1.34586367831806,0.968765374763338,-0.625077650116022,0.203668781997558
"PK-11195",113,0.109107543151278,0.24999092332859,3.09326646748756,1.1877096893788,-13.9937651616724,0.779336995159498
"isoevodiamine",136,0.134825215848261,0.117592263994158,4.24030100597501,1.64555930672817,-6.96218938807087,0.572107554788229
"idarubicin",136,0.0537253858650254,0.534464073740245,4.04931782194567,1.67393414559996,-6.20598405550539,0.524567880407608
"Compound 44",113,0.00809324232183312,0.932200042080795,3.52567535097043,1.73051636042841,-7.9929596742323,0.634890756855585
"blebbistatin",113,-0.165585722676319,0.0796448801774644,4.21355073484894,1.64834256914558,-12.7708370266083,0.667228936634828
"myriocin",136,-0.0506176348076394,0.558396630607778,2.8306983582823,1.04563555570069,-14.3600118147114,0.436681171541321
"etoposide",136,0.212679028704346,0.0129239860478805,3.65862317082877,1.49754839154511,-3.25592791315713,0.435976492599167
"oligomycin A",233,0.191540712808849,0.00333285985526896,2.70010684750962,1.61242611880186,-1.63267909292344,0.286686340447115
"chaetocin",114,0.0267209800204091,0.77778388390038,6.28134315958008,2.14193097038448,-18.7397975974653,1.03478355895688
"RITA",233,0.136400781553432,0.0374701629574949,2.49897833459944,1.58268431925334,-1.52394407015773,0.325345610725411
"tubastatin A",137,0.074538269815168,0.38667707265642,2.74764763606085,1.07412954588394,-10.9466724020754,0.575098402172772
"3-chloro-L-alanine",114,0.25900258743727,0.00539315051831291,2.42140311078148,1.13274820572742,-4.01514143568389,0.472801013547367
"BMS-299897",136,0.0825543617316158,0.339331560987308,0.804552720931169,0.539097314630079,-1.81654904203307,0.195850224179934
"Compound 110",113,0.108132611423061,0.254273278312382,2.41824179122886,1.17728829931389,-5.30636234902215,0.435609358221144
"Merck60",233,0.196341610961036,0.00261022921080185,2.93270312352823,1.39049288732401,-2.91181966646613,0.352561665289565
"BIBR-1532",113,0.0959276115247924,0.312150630572866,2.65147758399447,1.0741471756996,-9.21510040191033,0.587220690539825
"LDN-193189",204,0.0810275895317521,0.249284313731627,2.0261133951405,1.0884983378096,-3.14594048022856,0.35542419505846
"ML030",136,0.231477064881122,0.00669845658260861,1.47177370358383,0.973904841248241,-1.42217903190718,0.307741495783342
"ubistatin B",113,0.10793490634474,0.255147795030147,3.47858255835279,1.63800012463499,-4.90319987079625,0.3939683064185
"LE-135",113,0.0755422740025483,0.426477383756463,2.21302355777246,1.25863834103854,-2.91016068385684,0.31745686588522
"rotenone",113,0.127264558299297,0.179185234334559,8.40582179544141,2.68574511231987,-29.0547919728409,0.974137389826783
"FGIN-1-27",136,-0.0737279841320954,0.393640372849238,1.48487715922114,0.681408255303294,-8.76538616159231,0.583838776086634
"avrainvillamide",233,0.0893462432149118,0.174084377723434,3.31540677357766,1.47653229149437,-5.98543091610756,0.551024925804026
"SR-II-138A",137,0.425472441286484,2.1851068880996e-07,1.3973185396399,0.922749683850316,-0.33222649749271,0.209401048660768
"BEZ235",114,-0.0305924478448328,0.746609021284516,7.36659943752354,2.10886393684143,-39.6278643421741,1.28994176604391
"TG-101348",233,0.394983649117492,4.03050042238427e-10,1.16357803132626,0.907564705850634,-0.0486466561538981,0.179651009641411
"4-methylfasudil",113,0.0459437286802145,0.628944074750486,3.06898833663809,1.53781788194289,-4.9715740011801,0.415356801732093
"XAV-939",233,0.0524424691259234,0.425600409875432,1.54253334432283,0.768973593680897,-4.19424972093371,0.374437650335671
"BMS-754807",137,-0.0227790736656993,0.791615370678843,5.00315532086355,1.76669844211841,-11.2336129627698,0.792595383487272
"BRD6368",233,0.203809317893379,0.00176496963279424,1.90662314315135,1.07424432254115,-1.9840608946585,0.249828432498444
"gemcitabine",113,0.0576808453947509,0.543954515065119,4.45044563492043,2.37351607573934,-4.7701769535404,0.507921136867095
"Compound 4",233,0.245435136428507,0.000154140473455466,1.40218306421548,0.502553511329849,-8.48443267611583,0.246767636516751
"Gly-Gly-PALO",113,0.168376529266798,0.0746323896103465,1.53295452935437,0.596955706167615,-11.5180710658273,0.531906498735034
"SCH-79797",232,0.112000013406147,0.0887406779363062,1.9805447230985,0.997986803514223,-2.55019437521994,0.395489607893739
"HLI 373",136,0.154272381427518,0.0729321808689194,1.94841293998505,0.858485833808791,-6.06544803529903,0.506133868449981
"indisulam",232,0.254761586891594,8.69450887442173e-05,2.97070281012037,1.6245895476925,-1.29223549713963,0.307029393447287
"Compound 10b",113,0.137858768446825,0.14535747101982,9.19737329592129,2.21111209678297,-48.6153363655742,1.03981753858274
"dalcetrapib",113,0.124482881150377,0.188955844361322,7.00992846096435,1.7198498241227,-46.0361693824448,1.04165603616327
"leucascandrolide A",114,-0.143672380645759,0.127254349541304,11.0591656938641,2.83738566387789,-35.5358967868653,1.59383483741069
"gossypol",233,0.131367197027538,0.045162463936144,1.98376732753575,1.07581492216696,-2.32635098102882,0.284235858543944
"MST-312",233,0.221182229823888,0.000673233384883367,2.32507349999844,1.41837732527257,-1.3197773778922,0.3017385822159
"tamatinib",137,-0.07338274997531,0.394101521339812,3.4040758228592,1.54927225626971,-6.54933781413294,0.398692428392641
"SKI-II",113,0.326571121883325,0.000415240123619694,1.6385537660546,1.2246770272643,-0.412554254049915,0.231748382843206
"simvastatin",233,0.0136988886561475,0.83523705949983,1.9591696048943,1.21571157400313,-2.30707289136006,0.293984214893655
"piperlongumine",233,0.301640058653762,2.74201541169192e-06,1.57427374541743,1.00101626643889,-0.929862758407679,0.272796132551263
"4-IPP",113,0.0164994431416019,0.862295237823393,3.72994156918008,1.21389522624332,-19.2895905323791,0.615227797710604
"CD-1530",113,-0.0830181358631642,0.382013125549778,3.82874078286108,1.72953582803948,-10.2173616767116,0.575274702555943
"austocystin D",232,0.161365545288342,0.0138658962697785,4.86201915383302,2.31284526625379,-3.70383352020648,0.630729965721612
"cytochalasin B",232,0.181141877952096,0.00565580292248303,2.0481044800422,1.24844254020269,-2.06254072998758,0.306506110360844
"BIX-01294",232,0.230815775682314,0.000393096109446645,1.60168881042721,0.9543717875266,-1.24030004586714,0.179652157526466
"ML007",233,0.11595295916528,0.0773305966957666,0.713562109716135,0.459067773581427,-1.42955932724428,0.236294492918781
"CD-437",233,0.264597356903846,4.30778219640733e-05,2.41329897323657,1.33845846790908,-1.47785701783469,0.311909253437145
"Compound 1541A",233,0.00161852944298269,0.980395615077627,2.22591740043155,1.12833526172949,-4.7315632555487,0.383673021309905
"PP-30",233,0.143633269636701,0.0283756009887113,1.34981130809988,0.998955909702876,-0.772722331707941,0.22795860843056
"VER-155008",233,0.294610145973863,4.76711342233745e-06,1.3813907134476,0.820507668983167,-1.28599171100879,0.243661600805672
"etomoxir",113,0.119044078786974,0.209167871279519,1.80803291091679,1.1519336476471,-2.36950554445522,0.345367406719411
"AGK-2",233,0.0272841019513249,0.678646321016816,1.9869758356421,1.08641466256482,-3.80257609730167,0.373288214252024
"BMS-536924",233,0.275508413476771,1.99293210234205e-05,1.67706866491563,1.1897142339541,-0.625147878543611,0.219566784442639
"glibenclamide",233,-0.0230083917131686,0.726815091648648,0.830897753400214,0.429219426478156,-3.81152634652608,0.304670634130322
"LY-2183240",233,0.296267422722862,4.18987043101657e-06,1.73255399610892,1.06013664426803,-0.811016207642346,0.225226681621806
"nakiterpiosin",233,0.15879812890354,0.0152524916045653,2.72852405588791,1.50858166282616,-1.99333047828969,0.300726869324544
"MK-591",113,-0.100473885856859,0.289664056012562,7.19482104801254,2.05568872314964,-39.0266123234005,1.3254524608549
"ML159",113,0.116583090044668,0.218804175622484,0.943311996896855,0.521715444834987,-3.1434741968309,0.243065267565991
