"","N All","Spearman Correlation All","Spearman P-value All","RMSE","MAE","R2","NRMSE"
"CIL55",307,-0.180246138465697,0.00151759550227275,1.11181355751406,0.586665260693022,-0.00773607132049325,0.0730619920297854
"BRD4132",746,0.0662914567101561,0.0703619959356347,1.24510517022609,0.971342894391416,-0.0074653388763779,0.155195838139564
"BRD6340",776,0.334904887662946,8.57973448351607e-22,0.636260223030212,0.429440881770768,0.111085447289456,0.0902368774684743
"BRD9876",734,0.0696749855503179,0.0591951540580848,1.7822386313095,1.40324463006874,0.00326057916821654,0.158405723112363
"betulinic acid",759,-0.0373799037021601,0.303725595467654,1.23253140179929,0.810335127909608,-0.0106927819058529,0.120243446708808
"gossypol",737,0.374552753594303,5.83434543019412e-26,0.960331798662496,0.73030983174003,0.140219785407082,0.104689995602631
"chlorambucil",750,0.643365187859589,7.44378534800685e-89,1.24741687334681,0.908813465301673,0.412054977246814,0.0896280903703062
"fluorouracil",778,0.517474161248751,1.66923116546511e-54,1.30335411965689,0.970603179951211,0.265873769780657,0.118806435467885
"cimetidine",220,-0.0713410610041181,0.29212388764914,0.742819104823497,0.505306142828223,-0.0126278528529777,0.123228119579213
"azacitidine",740,0.0381589698777353,0.299894816603135,1.01230487229819,0.69381453759182,-0.0120553426226759,0.129682919843478
"trifluoperazine",722,0.0629793032537725,0.0908359811741938,0.73183670812509,0.475856859634599,-0.000925309979223243,0.0968178846293892
"paclitaxel",764,0.121804085990518,0.000741411982465199,11.8796998105822,2.87427609874656,-8.77218072741156,0.677960577455657
"tamoxifen",757,-0.0174818649297867,0.631062809211669,1.09935124645252,0.853124701149998,-0.00298816096462362,0.11212606801425
"carboplatin",778,0.114241272685975,0.001413775782237,0.893962862355709,0.575888055986176,-0.0175439906175709,0.087000298027883
"teniposide",403,0.740722887978441,2.85476469384212e-71,1.89565150920169,1.4685802073344,0.535089131580745,0.128475195472836
"sildenafil",751,0.0209409104649986,0.566658527431932,0.953712602201299,0.637709608590604,-0.00763811607813358,0.102685552095922
"simvastatin",703,0.189614808400672,4.09381436383511e-07,1.27966003185316,0.983567527978354,0.0358091427821213,0.105546806101332
"parbendazole",790,0.61763657245625,2.86217885566506e-84,2.23958631984533,1.73558313328254,0.381430621858612,0.14910893086761
"procarbazine",715,-0.0476016492338853,0.203608700127682,1.27319656838225,0.943390568687053,-0.00423394442241176,0.136065977897474
"curcumin",773,0.49677814495717,2.05062844569167e-49,0.831090225119732,0.623681706579881,0.243402635859083,0.111516816294948
"ciclopirox",783,0.598345118540269,3.27720731984065e-77,1.12109842980209,0.845210204493528,0.357384805751484,0.0990081009778146
"epigallocatechin-3-monogallate",693,0.417566570445717,1.28605817854339e-30,1.25124598566292,0.980317624031477,0.17178780219468,0.0990215324081731
"myricetin",755,-0.0532747327271959,0.143615994880796,1.03964754933761,0.778716432252965,-0.0335641583476727,0.112799187281661
"methotrexate",741,0.427096842839411,3.28029811502196e-34,3.05801702276156,2.48663476339286,0.17821306288649,0.186229394773765
"lovastatin",784,0.296227197679826,2.41220488862803e-17,1.4957939734552,1.19104103747329,0.0869680943647414,0.141879591893462
"valdecoxib",742,0.0184448569360701,0.615929538781848,3.57459204017511,0.846867737465533,-11.3992005276882,0.514818682515065
"dacarbazine",771,0.507452649411009,1.0783922163584e-51,1.26010749596704,0.901817450113646,0.256368801136828,0.109641303051165
"prochlorperazine",760,0.217439926750096,1.3854984642542e-09,0.81043728660912,0.6089387080369,0.0385361126132969,0.105085097197832
"ifosfamide",400,-0.024207962511098,0.629298239195317,0.837330100248567,0.556750113962759,-0.00304784433650407,0.0943534323727313
"doxorubicin",795,0.717368384274277,1.3436859856418e-126,1.64098424693169,1.31015306293224,0.510653505253084,0.128549379332547
"ouabain",793,0.342121665363825,3.41009356845648e-23,2.66758503010029,1.86314681507537,0.112966783282474,0.0933927000255675
"BRD9647",764,0.0849473947035553,0.0188545573250246,0.946393440414218,0.604526667891919,0.00674519041177313,0.0744265748450131
"piperlongumine",775,0.593052406605207,8.5532966004094e-75,0.932206806803722,0.686152903437564,0.348104324284174,0.0929845000502446
"pyrazolanthrone",788,0.176028534218371,6.61328184929401e-07,0.896563069510902,0.673737017929653,0.0309240231089173,0.110077972388629
"C6-ceramide",787,0.00104505762474596,0.976648492447952,0.990210375574846,0.679104354489387,-0.000933453398492823,0.0749875331749221
"topotecan",790,0.657440402604734,6.01926616900893e-99,1.97565968572965,1.53247262611972,0.429498038431109,0.137180489083361
"importazole",727,0.0482700415532501,0.193593974107951,1.55670619752415,1.31812177123869,0.000896516248622747,0.141311915970638
"etoposide",775,0.701521428963334,7.65053186627631e-116,1.47055049362611,1.12020930631683,0.490691127789487,0.11191318891227
"PRIMA-1",723,0.641653698837459,3.97988472941389e-85,1.36665518704977,1.05374836337303,0.409014685611045,0.0960613476618075
"tanespimycin",785,0.299106423299271,1.09228650552337e-17,2.07309695036671,1.58550232017568,0.0891759079647571,0.125153004942299
"blebbistatin",208,-0.0926894697289138,0.182991971452115,0.814886887316021,0.604817838615001,-0.0331653783739998,0.183698576942295
"cytochalasin B",779,0.114630102169956,0.00135145224126164,1.36829769598982,0.890568626990074,-0.393842045516792,0.159076637329515
"NSC95397",690,0.609021137737304,2.85275320546924e-71,0.978772516155331,0.696355290798269,0.360447073192597,0.075006898265423
"manumycin A",768,0.589584804418329,4.40874822766901e-73,1.17828619539086,0.87795059797327,0.341438597690612,0.0906869286603346
"mitomycin",774,0.607852523010243,2.26858987489821e-79,2.01721657773394,1.58497105717726,0.363875277154108,0.130020534060429
"tacrolimus",736,0.297490774478134,1.66019015336146e-16,0.969897016028988,0.639350387650285,0.0884803728638373,0.0771455514129465
"SB-431542",762,0.0186851438601795,0.606560420186232,0.853263667873922,0.565058141398718,-0.0116523100553396,0.108051827053227
"staurosporine",212,0.00243158575184417,0.971924126750625,1.03643344121204,0.693927998991921,-0.0580170719882276,0.121125368566392
"SB-225002",792,0.643604284838944,7.88578537125715e-94,1.12566356539812,0.863091303696817,0.391778814422912,0.0990186278740807
"cerulenin",766,0.493744539483853,2.55740340518417e-48,0.963749618689936,0.734851350961148,0.242512711835785,0.123505391140919
"purmorphamine",719,0.256133471447617,3.10915055934894e-12,1.22917077678115,0.921901258416672,0.0593269540538083,0.120597978550587
"GSK-3 inhibitor IX",747,0.345010381323773,2.63816720875876e-22,1.40421862327147,0.987344488595056,0.118986772158326,0.111804406451755
"dasatinib",782,0.45258549440756,9.47424740545028e-41,2.53394790336879,1.91675566125002,0.203905572317682,0.156403020934536
