"","N All","Spearman Correlation All","Spearman P-value All","RMSE","MAE","R2","NRMSE"
"CIL55",307,-0.0304570905904332,0.595004618949963,1.1359858018821,0.607559526874694,-0.0520313452979557,0.0746504528948508
"BRD4132",746,0.109274707177623,0.00280287101490369,1.24121776985621,0.96682052915164,-0.00118425129466093,0.154711294044001
"BRD6340",776,0.346348968919306,2.73396211813961e-23,0.633357323845578,0.425593555061759,0.119178182651182,0.0898251771160938
"BRD9876",734,0.148525298362517,5.35700854108586e-05,1.76784026163658,1.39254835996223,0.0193004642650411,0.157125993159476
"betulinic acid",759,0.0371339233714469,0.30692093419557,1.24239320024528,0.826325909447862,-0.0269311085585873,0.121205545227484
"gossypol",737,0.406030970563758,1.26902924232675e-30,0.948082363514448,0.722245521567678,0.162013613519402,0.103354630769799
"chlorambucil",750,0.620384332665577,5.53492624162465e-81,1.2805299892355,0.96196219807433,0.380426267228832,0.0920072992833227
"fluorouracil",778,0.560358980269578,1.58639589663451e-65,1.26235225228134,0.933861404720647,0.311336600454508,0.115068935707116
"cimetidine",220,0.0428995483166408,0.526753383489761,0.791082775140023,0.53831898641549,-0.148490998047712,0.131234700587263
"azacitidine",740,0.146810106293674,6.10655454444804e-05,0.996606346744955,0.677719317673225,0.0190905811209316,0.127671835350366
"trifluoperazine",722,0.184245657681313,6.20100397355431e-07,0.719291518223964,0.458765727892794,0.0330964144010883,0.0951582264911513
"paclitaxel",764,0.552372046948518,3.06310044799112e-62,3.16821760300061,2.50446560607289,0.304958778617837,0.180806474059398
"tamoxifen",757,0.0353384105558249,0.331555933546244,1.10476781508148,0.847088178006022,-0.0128960734287573,0.112678519784742
"carboplatin",778,0.246417275993876,3.17087487669933e-12,0.858928603916214,0.563395054356488,0.0606479865834789,0.0835907705701202
"teniposide",403,0.704237436749707,1.25079664747852e-61,1.98095808841863,1.51702734275698,0.492304549826316,0.134256732525831
"sildenafil",751,0.0344852654144553,0.345295465368377,0.954999789166455,0.641063687243623,-0.0103598876310622,0.102824142593587
"simvastatin",703,0.243225681524757,6.32522661111127e-11,1.26440193406252,0.970246229462561,0.0586652295969364,0.104288312869616
"parbendazole",790,0.630648862553618,7.8357524421132e-89,2.21013567289013,1.71268758496553,0.397592079284742,0.147148142644385
"procarbazine",715,0.00723440108434985,0.846874217565007,1.28873400242778,0.957194057931767,-0.0288938058812176,0.137726456891781
"curcumin",773,0.499928619388296,4.07139445020055e-50,0.828471717203456,0.625194122036637,0.248162733193529,0.111165461342814
"ciclopirox",783,0.599046026626466,1.96402628839119e-77,1.12109201041764,0.850595340411852,0.357392164930779,0.0990075340596502
"epigallocatechin-3-monogallate",693,0.469896137091343,2.35564444688988e-39,1.2157594717734,0.951347674653963,0.21809939049036,0.0962131885449944
"myricetin",755,-0.0245145228097784,0.501216433879671,1.07460734362292,0.773341086582565,-0.10424331925481,0.11659223848005
"methotrexate",741,0.410528664041365,1.71342447611315e-31,3.07901712517471,2.48915756752648,0.166887510615529,0.187508274627434
"lovastatin",784,0.370032556430204,7.56292838064933e-27,1.45645567401344,1.16576912178068,0.134360751325677,0.138148261262621
"valdecoxib",742,0.394239037164918,5.30329913390478e-29,0.934047042578836,0.709608305363628,0.153400095337027,0.134523006391514
"dacarbazine",771,0.518579291198604,2.72887822163007e-54,1.25196045100296,0.896813457579193,0.265953399250371,0.108932432872441
"prochlorperazine",760,0.305237590710456,7.48583417441024e-18,0.787404576406674,0.599459008151448,0.0924093392759153,0.102098568035927
"ifosfamide",400,0.134229563598571,0.00718026259451451,0.82962657379053,0.570952308111007,0.0153235505681364,0.0934853707056849
"doxorubicin",795,0.667187129528947,1.57173640093001e-103,1.74953357262103,1.38213397189998,0.443772803850966,0.137052781160091
"ouabain",793,0.421794001506957,1.49861732071134e-35,2.56885492586715,1.82927654025659,0.17741175887163,0.0899361387898075
"BRD9647",764,0.217749639735364,1.18699694429108e-09,0.926826751458469,0.587581339457554,0.0473917138377342,0.0728878050502893
"piperlongumine",775,0.599771695095089,6.90425656890268e-77,0.92464980344851,0.684363339451205,0.358630764876494,0.0922307143304516
"pyrazolanthrone",788,0.252074301528732,6.91497395946172e-13,0.883104490419187,0.659207422364797,0.059799836814082,0.108425558690107
"C6-ceramide",787,0.053627379089747,0.132806235954755,0.98968981592257,0.681685520498821,0.000118663656385021,0.0749481117699788
"topotecan",790,0.613749642806938,6.00390646470465e-83,2.06609395843827,1.60418552394857,0.376074117997374,0.143459818387731
"importazole",727,0.159487480941227,1.55650871249359e-05,1.53844572790181,1.30215282239734,0.0241984025149438,0.139654299425551
