"","N All","Spearman Correlation All","Spearman P-value All","RMSE","MAE","R2","NRMSE"
"CIL55",307,0.0818877325906491,0.152332537762534,1.16249729663066,0.664962942453855,-0.101708693172673,0.076392635839937
"BRD4132",746,0.0959395627756836,0.0087401642526922,1.2830535973398,1.00891571343461,-0.0698124255041643,0.159925910821634
"BRD6340",776,0.336156426385831,5.92686152904061e-22,0.649502908200995,0.460070017182131,0.0736978555058284,0.0921150061269316
"BRD9876",734,0.0910301156520535,0.01361939971453,1.84756354411991,1.43617102417716,-0.0711460660737604,0.164211814322147
"betulinic acid",759,0.0184773044811759,0.611275716433218,1.28816612668546,0.915713380178597,-0.103994546777344,0.125671065889336
"gossypol",737,0.322115942366193,2.96388200046552e-19,1.00083330561969,0.755681307100859,0.0661689150515647,0.109105243115162
"chlorambucil",750,0.56125156880048,1.82777186132841e-63,1.35525218776834,1.01677598518519,0.30600918327,0.0973761604121613
"fluorouracil",778,0.45226769076527,1.72966853707624e-40,1.36277013858927,1.02813287632105,0.197414885113876,0.124222465779668
"cimetidine",220,-0.0423545737895554,0.532022537712567,0.782472570776738,0.563950505050505,-0.123626527210821,0.129806332245643
"azacitidine",740,0.0161661342848483,0.660624103033478,1.05519598018453,0.741753573573574,-0.0996332510866567,0.135177553187873
"trifluoperazine",722,0.133144607442456,0.000334006972436105,0.745636363813931,0.475347146374709,-0.0390284807537198,0.0986435015430725
"paclitaxel",764,0.539674554190687,5.8276999397208e-59,3.22717462437186,2.54992929901105,0.278850197178663,0.184171082331596
"tamoxifen",757,-0.0314109373653147,0.388129873076486,1.16357066281379,0.889403008953471,-0.123591347283663,0.118675995228137
"carboplatin",778,0.210494751795366,3.05972243806316e-09,0.886390085219953,0.602066066838046,-0.000377737071187711,0.0862633167779311
"teniposide",403,0.676881355642749,2.5593064994503e-55,2.07257115526455,1.59482275670566,0.444260077326602,0.140465683176181
"sildenafil",751,0.0361417405331775,0.322606722171147,0.984068851062618,0.662556561621542,-0.0728043231292423,0.105953987646308
"simvastatin",703,0.136309973302482,0.000289361829275944,1.3465768108659,1.04971744902798,-0.0676675919173915,0.111066125392062
"parbendazole",790,0.596271428459313,3.16531669477747e-77,2.30417986847452,1.78660838959212,0.345234843132073,0.153409490703905
"procarbazine",715,0.104190985016793,0.0052914826603322,1.3035455817219,0.979560124320124,-0.0526801219617519,0.1393093640963
"curcumin",773,0.41780639836688,5.20595547873881e-34,0.879687106474274,0.677974355325571,0.152333678983465,0.118037611903802
"ciclopirox",783,0.560745963191566,4.81110910632638e-66,1.17301054331936,0.901832137079608,0.296494766249878,0.103592640247928
"epigallocatechin-3-monogallate",693,0.368531158511121,1.02153973464697e-23,1.28871432902492,0.998992256808447,0.121443810081525,0.101986714969406
"myricetin",755,0.123626094281206,0.000663227215429648,1.04371066238862,0.777883763271313,-0.041658621066915,0.113240024996595
"methotrexate",741,0.316673350370669,1.00940924448256e-18,3.26189034781578,2.58590843604738,0.0649859182662116,0.198645024135133
"lovastatin",784,0.249490342814192,1.37100128194888e-12,1.5481051060991,1.25226690759637,0.0219900301972775,0.146841426399224
"valdecoxib",742,0.314692687099696,1.60944634666773e-18,0.978875760368222,0.745917250673854,0.0701864634815305,0.140979312781666
"dacarbazine",771,0.505151525671601,3.61372854301641e-51,1.28717401043725,0.950349922178988,0.224080017329376,0.111996346509811
"prochlorperazine",760,0.275968161583391,9.4597776980576e-15,0.803751989982651,0.615155950292398,0.054332918758725,0.104218250302463
"ifosfamide",400,0.127241054278107,0.0108585454686244,0.865966315783831,0.621118444444445,-0.0728283475757452,0.0975802663598476
