"","N All","Spearman Correlation All","Spearman P-value All","RMSE","MAE","R2","NRMSE"
"CIL55",307,-0.0705213277810884,0.217901453766206,1.11588707657388,0.589352353741334,-0.0151339883160013,0.0733296802721808
"BRD4132",746,0.0607884055814903,0.0971028834944199,1.24037626873122,0.971134842959154,0.000172822544673545,0.154606405336194
"BRD6340",776,0.227476229414965,1.44788260354787e-10,0.657508029596355,0.455088751865078,0.0507238027633203,0.0932503233011424
"BRD9876",734,0.117513123928519,0.00142594544409744,1.77324505039304,1.40426254017285,0.0132947447836751,0.157606371856355
"betulinic acid",759,-0.0910596146197201,0.0120810017643959,1.23460313659685,0.811821266294372,-0.0140933397941081,0.120445561261315
"gossypol",737,0.265496874708452,2.34827803203415e-13,0.998618721482708,0.772113230240351,0.0702969940628693,0.108863821552442
"chlorambucil",750,0.440480000757489,6.07141255729145e-37,1.46065234863439,1.10082658377378,0.193866048788403,0.104949262351853
"fluorouracil",778,0.392006705968133,5.57338594759337e-30,1.39948977044526,1.04510141629512,0.153581123421562,0.127569621020679
"cimetidine",220,-0.128025353461351,0.057971364772387,0.748082213106136,0.505499540563626,-0.0270282656842695,0.124101229778722
"azacitidine",740,0.143497153358617,8.95701363542921e-05,0.996260627401321,0.682566711439072,0.0197710113467509,0.127627546425996
"trifluoperazine",722,0.158744502979709,1.82505372632792e-05,0.722671660776179,0.467851498282689,0.0239875868643697,0.0956054003593353
"paclitaxel",764,0.424282672181232,9.78374640701997e-35,3.44134542722741,2.79997084464609,0.179956119769653,0.196393559624225
"tamoxifen",757,0.0604691027830432,0.0964131834617848,1.09725797421672,0.847773498577842,0.000827777616187242,0.11191256902033
"carboplatin",778,0.137910226809607,0.000113875098876291,0.878739488437493,0.580557825902691,0.0168166280145021,0.0855187621345635
"teniposide",403,0.529587684349047,1.63145743994693e-30,2.35841398796206,1.8741247200401,0.280397305088356,0.159838291288517
"sildenafil",751,0.054685086214456,0.134332114510034,0.949587907751649,0.637776385038716,0.00105886831578261,0.10224144920181
"simvastatin",703,0.146399972903322,9.78865285495555e-05,1.29062606501409,0.983436174278883,0.0192130895328885,0.106451288344214
"parbendazole",790,0.471143161861723,6.75688567066568e-45,2.51179233560655,2.03603803569877,0.221927140688096,0.167232076033406
"procarbazine",715,-0.090311039577389,0.015710034696362,1.27491771981204,0.947157456457781,-0.00695089640614355,0.136249916621643
"curcumin",773,0.349658408699009,1.19686007159968e-23,0.895432035858744,0.678057948112622,0.121718507266288,0.120150287934244
"ciclopirox",783,0.469120825077217,4.25621115011074e-44,1.2351267414172,0.952201736956062,0.220014461547591,0.109078337712257
"epigallocatechin-3-monogallate",693,0.311713084842646,4.41914740924375e-17,1.30684106487787,1.04463145118932,0.0965548852399183,0.103421234785881
"myricetin",755,-0.087642852336557,0.0160036510494841,1.02707075246309,0.769205040878261,-0.00870900171397815,0.111434635932546
"methotrexate",741,0.275244389274201,2.39020245530803e-14,3.24307392671012,2.68100949454589,0.0757421803590664,0.197499127729641
"lovastatin",784,0.231931729575159,4.9124099064956e-11,1.52298245272819,1.21706515200369,0.053474769433722,0.144458483379798
"valdecoxib",742,0.306594708311139,1.29574845951721e-17,0.966317051692177,0.743789536589704,0.0938919218996124,0.139170586699913
"dacarbazine",771,0.397555482339343,1.34585541679457e-30,1.34086599907872,0.980451869397361,0.157997911457009,0.116668058738251
"prochlorperazine",760,0.168969109517227,2.81041338759413e-06,0.814893034342229,0.61381045014172,0.0279348795784488,0.105662850333527
"ifosfamide",400,0.00125568201097246,0.980027001036481,0.839488157399733,0.566135385818651,-0.00822483256911188,0.0945966101820667
"doxorubicin",795,0.493038397970448,6.30024431256452e-50,2.04089059569142,1.63548957055393,0.24308500877514,0.159876744613676
"ouabain",793,0.307021074134788,9.01507891534694e-19,2.696037613994,1.96029923462145,0.0939435966745361,0.0943888308339781
"BRD9647",764,0.117466201179351,0.00114281288903611,0.943213440826116,0.601758075494555,0.013408895358614,0.0741764923029708
"piperlongumine",775,0.455127712533672,6.8650930760073e-41,1.02821050470953,0.781912753923252,0.206918838883103,0.10256054668238
"pyrazolanthrone",788,0.167500277320192,2.26815979330438e-06,0.897901140465744,0.676939076244187,0.0280292796540142,0.110242257693957
"C6-ceramide",787,0.00460374857790518,0.897399780368317,0.99112909468268,0.682616566223546,-0.00279165101895629,0.0750571067537054
"topotecan",790,0.441311843931206,5.5201774314592e-39,2.34724873659421,1.86205521434813,0.194712247475579,0.162981879932107
"importazole",727,0.142045264581928,0.000121604389437442,1.54219073187606,1.30722856386902,0.0194418762585614,0.139994256758386
"etoposide",775,0.507875009512846,4.7392583931463e-52,1.77511746058609,1.39945487311081,0.257877582082366,0.135091624918082
"PRIMA-1",723,0.412210814980584,4.98862762920644e-31,1.61985762104735,1.27937610921501,0.169743148918517,0.113858790112206
"tanespimycin",785,0.0736843443300902,0.0390183308173294,2.16894992451133,1.65931914177762,0.00300189057960276,0.130939655559258
"blebbistatin",208,-0.152475376785397,0.0279027448867887,0.813913580778782,0.59642413640635,-0.0306988125409822,0.183479166090798
"cytochalasin B",779,0.0505687788595905,0.158528083767745,1.1589969365611,0.901673001252938,-3.90196861022041e-05,0.134743583858757
"NSC95397",690,0.418108838596569,1.42047062581862e-30,1.11206124416331,0.813301847721204,0.174398695948771,0.0852212983396024
"manumycin A",768,0.416168180836796,1.59569240645306e-33,1.32036688030836,1.01572172042592,0.173041075395964,0.101622184447534
"mitomycin",774,0.397678808768188,9.91820618438737e-31,2.32063058619534,1.8466293382345,0.158121843316507,0.149577210253267
"tacrolimus",736,0.290918673013635,8.02322215748791e-16,0.9719773092377,0.64265365825531,0.0845660157097157,0.0773110178119915
"SB-431542",762,0.0421293924778203,0.245413852984352,0.849410094123571,0.566731401834306,-0.00253514349716832,0.107563835240043
"staurosporine",212,-0.0421905230855928,0.541237004728963,1.02987536001694,0.683229163472434,-0.0446701274549688,0.120358942117515
"SB-225002",792,0.39188184885298,1.79906052361278e-30,1.32798322497854,1.05083435080169,0.153495048549138,0.116815610648875
"cerulenin",766,0.404600220085236,1.55751013048634e-31,1.01268204282986,0.786729861179576,0.163640241288109,0.129776125848021
"purmorphamine",719,0.199878757952244,6.48476549993999e-08,1.2419209209773,0.939903187786509,0.0397106039060575,0.12184893703848
"GSK-3 inhibitor IX",747,0.281879431398473,4.12812298561537e-15,1.43554899233006,1.01849570585458,0.0792345615143243,0.114298942030802
"dasatinib",782,0.120434015751958,0.000738823023462506,2.82252767703801,2.2408015849914,0.012253182833265,0.174215047899442
"erlotinib",773,0.0693356811913956,0.0539881984413277,1.75172033129958,1.23802848090275,0.00122890150457766,0.107111343342969
"BRD-K94991378",712,0.157178565935737,2.52122509224426e-05,1.45434849582003,1.16734657037674,0.0227911257388579,0.159103424807189
"LBH-589",781,0.415096918596171,7.00894860706928e-34,2.20917318462549,1.58379226832023,0.172252165993656,0.110352169387815
"IC-87114",781,0.143876384338349,5.45100634724206e-05,1.12951010334457,0.767362362836093,0.0197154894639495,0.0967261636446959
"ciclosporin",743,0.152912060172654,2.84285287689151e-05,1.44244677826398,1.04976674459885,0.0230081579961983,0.131532100329547
"sirolimus",788,0.248974206149013,1.34224907261039e-12,2.6138921536938,2.10988811031897,0.0607266456101134,0.130173912036544
"KU-55933",763,0.194547192456811,6.06414764642317e-08,0.839850167815255,0.641710427098649,0.0369961367838572,0.0995472362197606
"sitagliptin",207,0.0727546252841725,0.29750466723439,0.915782507219052,0.680072679213071,-0.00469659817941515,0.137401726514486
"PDMP",738,0.220561430329362,1.392120393501e-09,0.706731522385202,0.505328361332095,0.0482553527485575,0.0811915127101157
"BRD-K71935468",738,0.113162606030909,0.00207782479320562,1.47615936818061,1.21071693822059,0.0104516714770724,0.146202161912369
"entinostat",764,0.44173801918014,7.84041459161621e-38,1.57262123580986,1.23623859513041,0.195128767907925,0.116789789817596
"BEC",218,-0.137205814218206,0.0429954806040996,0.792507605345708,0.59340158143561,-0.0224169575452029,0.160037884762865
"apicidin",787,0.412746045523069,1.00087895549708e-33,1.83035061616454,1.36958625545777,0.17024470765718,0.12190553239632
"Merck60",781,0.472721910598108,9.93159812161174e-45,1.53447256580394,1.19707129677114,0.223438734920676,0.120588182681509
"BRD-A94377914",401,0.473692613761197,8.06249467552838e-24,1.18843925443625,0.906888122224917,0.224009113421645,0.135655741485983
"FGIN-1-27",215,0.329343187325176,7.83367031035081e-07,0.703560761798888,0.508309511059889,0.10760094705166,0.143818634873035
