"","N All","Spearman Correlation All","Spearman P-value All","RMSE","MAE","R2","NRMSE"
"Erlotinib",217,0.234787237666379,0.00050254702884493,1.09794609363563,0.737829724582689,0.0136718785279727,0.148154267961299
"Rapamycin",201,0.207059681522416,0.00318495705598342,1.92796996312779,1.44630030288199,0.0156690927670531,0.203121991841047
"Sunitinib",221,0.47372762662602,9.19158834969456e-14,1.48536975901689,1.11238883176569,0.185566784130083,0.133272347687384
"PHA-665752",228,0.266441680610875,4.60193692277527e-05,0.846424965585997,0.604772710242106,0.0244511698426065,0.125375395298709
"MG-132",219,0.104076729386351,0.124647859495806,1.48646052543938,1.18227000014346,-0.0325905789585146,0.177708415776692
"Paclitaxel",223,0.225138760915805,0.000707311594170098,1.835196048211,1.48408222825106,0.0301735516876781,0.221519824354269
"Cyclopamine",218,0.332205866308128,5.16543414065888e-07,0.99404698535965,0.764842570015676,-0.00470120273508812,0.199443467744584
"AZ628",222,0.46335879088697,3.24537985866729e-13,1.66722720933842,1.23573244669017,0.194868699676323,0.179034935547984
"Sorafenib",220,0.149438586903605,0.0266664673896537,1.30649651570989,0.960657333512748,-0.0951813449737762,0.127526041463974
"Tozasertib",220,0.314259740765433,2.08749863929027e-06,1.97072000372352,1.55525277336807,-0.0230667941310834,0.218338715250685
"Imatinib",228,0.347237735988985,7.33437504030536e-08,1.12421316310324,0.696783356062247,0.053154665532763,0.13182732711477
"NVP-TAE684",226,0.313089175994636,1.74941885023822e-06,1.52521600398693,1.18801205871015,0.0569807613184206,0.160815515897122
"Crizotinib",227,0.419598936766386,4.73191600102854e-11,1.10958646971337,0.785669013034224,0.14319662882836,0.148558388967098
"Saracatinib",228,0.261611310257868,6.62089017810119e-05,1.21114687894033,0.918585617526609,-0.0389638182166774,0.190819929731374
"S-Trityl-L-cysteine",222,0.0120439497939239,0.858374113314702,32.7715547504208,3.39306347391523,-464.057054837302,5.24253278473918
"Z-LLNle-CHO",222,0.411250989630865,1.98136494956269e-10,1.18430678209009,0.860561896649566,0.100956652141335,0.212607707023858
"Dasatinib",218,0.42197567884145,9.76786236752199e-11,2.30130393118062,1.68480628145512,0.0960880377479602,0.20234116150826
"GNF-2",222,0.347526954116576,1.0641766612449e-07,0.912680406458748,0.595425766193829,0.0322377607712531,0.145065721484802
"CGP-60474",222,0.0438119040405766,0.516073756826008,10.1376190545368,1.62582763573341,-70.6159889925008,1.6495719143949
"CGP-082996",222,0.420118332410534,6.62519511490141e-11,1.04905728341383,0.822048457861588,0.0719383053506121,0.208958488134202
"A-770041",222,0.262236378354293,7.66606693784468e-05,1.84907240549807,1.37006888174638,-0.0929360426494195,0.206963692389684
"WH-4-023",219,0.353389895879582,8.82968903351692e-08,2.00387407575836,1.44686300791731,0.103166723279966,0.182508941201137
"WZ-1-84",222,0.213079179939169,0.00140490417493726,1.0585224626578,0.765426235819835,-0.122016991409937,0.170778128772495
"BI-2536",222,0.220052848165576,0.000964241801344095,1.63273852297186,1.27339482188093,-0.0157348510892423,0.236943941226731
"BMS-536924",607,0.342675334511621,3.63444774171738e-18,1.12375303562856,0.900766447628959,0.0949577987211625,0.187047763527084
"BMS-509744",223,0.211634108519196,0.00147940743648557,1.18355734619737,0.921207934207081,-0.114442799101597,0.216596419661239
"CMK",222,0.28962445455071,1.15825509071786e-05,1.33184960900984,1.02794773647228,-0.112072112775837,0.208928859692168
"Pyrimethamine",221,0.153589904716841,0.0223775207082616,1.50354140675573,1.18551979903514,-0.172578727783067,0.230366935503282
"JW-7-52-1",219,0.103011511713164,0.128573093656707,2.36042212774989,1.58379325930846,-0.64175971325909,0.263762430961903
"A-443654",222,0.0329713908515514,0.625109170292119,2.91301478214456,1.24863312766037,-3.1317924245507,0.387038614531634
"GW843682X",221,0.0413580778420716,0.540797707185486,3.78077570055297,1.60830992289523,-3.30514832259296,0.479781206353052
"Entinostat",218,0.14478858377263,0.0326175450770705,2.83261273831317,1.23106643680877,-3.14221195572216,0.393676622128176
"Parthenolide",219,0.257864594331651,0.000113532609351596,1.32327296844404,1.03871238360655,-0.194623761423532,0.215974572884386
"GSK319347A",220,0.360165717750367,3.85665469483711e-08,0.586242598284188,0.458116601651859,0.102967220924205,0.176893721599468
"TGX221",219,0.366829711755632,2.22227745312011e-08,1.03756898983676,0.761426382874435,0.0819508968512187,0.155740909664085
"Bortezomib",218,0.159720306299967,0.0182821335120082,2.5869533116122,1.30456934484539,-1.74680358839145,0.301864030800279
"XMD8-85",218,0.43463943023471,1.85047695795047e-11,1.10284766407141,0.854729118850933,0.121966577207109,0.172448394620088
