"","N All","Spearman Correlation All","Spearman P-value All","RMSE","MAE","R2","NRMSE"
"Erlotinib",217,0.0738583354180621,0.278720812339647,1.14241717544616,0.761816222553577,-0.0724449363791375,0.154155091325284
"Rapamycin",201,0.00346213574960848,0.961096004458341,2.04911084267958,1.49200023995908,-0.111914765751875,0.215884834218538
"Sunitinib",221,0.422860417280725,5.34501760888748e-11,1.49535940973513,1.16468538356595,0.174575228981257,0.134168652594439
"PHA-665752",228,0.252176526232819,0.000118481064816565,0.836922358377663,0.593962795612536,0.0462327104590751,0.123967836231393
"MG-132",219,0.155099008879411,0.0216740485051319,1.45605904353919,1.16206362528445,0.00921512208697273,0.174073876484671
"Paclitaxel",223,0.22490617241783,0.000716626258877843,1.83224450641146,1.48673076989155,0.0332905826342661,0.221163554504165
"Cyclopamine",218,0.314976333646819,2.08330017693135e-06,0.945729819564739,0.750478732620012,0.0905951568096963,0.189749214616055
"AZ628",222,0.565641474232285,3.57358035414515e-20,1.54573146474337,1.17773345469131,0.307937644256988,0.165988133839679
"Sorafenib",220,0.0982286739480253,0.146451295309347,1.25726506439566,0.937579389248598,-0.0141991023230119,0.122720600327211
"Tozasertib",220,0.387998702158558,2.56619248592181e-09,1.80196998339346,1.4496025641271,0.143043672731087,0.199642673921741
"Imatinib",228,0.533938469982194,3.33154969386271e-18,1.01825181273379,0.613780812166151,0.223230623871856,0.119402102028347
"NVP-TAE684",226,0.290478306950913,9.04979000979875e-06,1.55754020019173,1.20041337897623,0.0493284555820065,0.164223710064406
"Crizotinib",227,0.429896069741314,1.26042734831231e-11,1.11503167355935,0.789483535699712,0.15909293591771,0.149287426976335
"Saracatinib",228,0.223900717624325,0.00066022777906729,1.16738617706628,0.892112321467216,0.0328938567280651,0.183925296056632
"S-Trityl-L-cysteine",222,0.258506324781646,9.76536168519379e-05,1.495642545147,1.17257849383124,0.0313480283553842,0.239261003540982
"Z-LLNle-CHO",222,0.359121579175101,3.68458786562011e-08,1.19324950078946,0.897437971082811,0.0837551049509848,0.214213111084685
"Dasatinib",218,0.383660871611411,4.68955733598695e-09,2.2777060040984,1.72370266769778,0.112112314456457,0.200266323886724
"GNF-2",222,0.328201838129522,5.68179507798775e-07,0.88824577141329,0.580581836224808,0.0833627213314521,0.141181965531455
"CGP-60474",222,0.293982047171601,8.41553600829889e-06,1.15813420077618,0.861489731438776,0.0653353176919422,0.188449145743509
"CGP-082996",222,0.411907764798496,1.67505799717141e-10,0.995741341293246,0.828108064277167,0.163874404618072,0.198338649889799
