"","N All","Spearman Correlation All","Spearman P-value All","RMSE","MAE","R2","NRMSE"
"Erlotinib",217,0.231828496186641,0.000576706559746912,1.08801040618244,0.738350395149738,0.0272714703037839,0.146813569624784
"Rapamycin",201,0.265762707349979,0.000137213087153029,1.88636224440588,1.39889611530738,0.0576965403029537,0.198738395174923
"Sunitinib",221,0.472354738831325,1.10707640602666e-13,1.46160618980246,1.09044118866825,0.211417619652174,0.131140200698789
"PHA-665752",228,0.211236179886451,0.00133500993131085,0.84925818462529,0.599393387075186,0.0179093747052426,0.12579506150831
"MG-132",219,0.120789495452063,0.0744515183135359,1.48110513581024,1.15863665664768,-0.0251635894986335,0.177068171524945
"Paclitaxel",223,0.226023716291773,0.000672883041332507,1.82473534821129,1.47311804993133,0.0411981502620775,0.220257151394169
"Cyclopamine",218,0.421203577966652,9.63760791155878e-11,0.908652642306645,0.722801135997337,0.164339151042165,0.182310128822883
"AZ628",222,0.561144700757682,8.1488845375281e-20,1.58481643445692,1.17346756729302,0.272496538390219,0.170185267256387
"Sorafenib",220,0.259081140511194,0.000101286759737557,1.20962656871288,0.897187945562517,0.0612019898865992,0.118070646268648
"Tozasertib",220,0.346506709026971,1.33070462821635e-07,1.83832062369708,1.48163513763447,0.108120659760752,0.203670010168106
"Imatinib",228,0.420369118338043,3.54624804277374e-11,1.07236899534717,0.639602943651594,0.138470387546682,0.125747983547126
"NVP-TAE684",226,0.323700857803478,6.56285749621225e-07,1.51766992096623,1.20166692192229,0.0973765355893301,0.160019873030273
"Crizotinib",227,0.445391831232473,1.84519013367716e-12,1.11776162736899,0.785401492395263,0.154970276939267,0.149652930297604
"Saracatinib",228,0.331107648432566,3.10086394874104e-07,1.13515246410183,0.869283505237794,0.0855637344923401,0.178846775069781
"S-Trityl-L-cysteine",222,0.222783588899173,0.00082945959662279,1.54310070944858,1.1894285881174,-0.0310997638578854,0.24685298335852
"Z-LLNle-CHO",222,0.236939136976012,0.000369122648346227,1.34614450497545,0.911010153486079,-0.166090912118069,0.241660945334201
"Dasatinib",218,0.433951661277715,2.23228300978231e-11,2.21739470440164,1.66020906003288,0.162106783715693,0.194963478718221
"GNF-2",222,0.354801667667782,5.49756193997637e-08,0.881418346228665,0.564598715862086,0.0973998736695528,0.140096782423237
"CGP-60474",222,0.258625945399851,9.69039868231833e-05,1.18662509072963,0.873632291358878,0.0187828894374799,0.193085123050457
"CGP-082996",222,0.435839749202505,1.04438327361447e-11,0.982722433020614,0.8067672565743,0.185595469400849,0.195745453662273
"A-770041",222,0.326943136218486,6.31196954085797e-07,1.69413386675287,1.30931327057289,0.0825500908080605,0.18962167161385
"WH-4-023",219,0.301704743011895,5.47677170136376e-06,2.04392151483452,1.45817276732008,0.0592101191555238,0.186156383818429
"WZ-1-84",222,0.359866640602354,3.69152566992814e-08,0.942146222617881,0.710294251031457,0.114764584382324,0.152002413368503
"BI-2536",222,0.147187200559891,0.028335110568586,1.7267699283646,1.2774207265515,-0.13609860931577,0.250589832151317
"BMS-536924",607,0.361781087443879,3.30059239797913e-20,1.10541448449603,0.889926763010434,0.124255584670983,0.183995326855581
"BMS-509744",223,0.244501864848138,0.000227104069636143,1.09436724594768,0.887881009125241,0.0471921113305596,0.20027422247715
"CMK",222,0.385834825226121,2.70968042097494e-09,1.16593085527549,0.971174927641442,0.147747730563946,0.182900984033569
"Pyrimethamine",221,0.14603565232464,0.0299831298349096,1.56022054928594,1.16732056881251,-0.262650667607286,0.239051099646001
"JW-7-52-1",219,0.179890440168574,0.0076143962330309,1.86183596422691,1.48444203324378,-0.0214404917857089,0.208048541065373
"A-443654",222,0.0415483804909599,0.538007925621268,1.8964065241547,1.17493301037949,-0.751120368318979,0.251966642324151
"GW843682X",221,0.145186289401859,0.0309624889597685,1.92578649316528,1.41152613642696,-0.116972716923041,0.244382698168029
"Entinostat",218,0.139804946204317,0.039163213153581,2.37691202148226,1.18757632020002,-1.91664870930611,0.330343319810889
"Parthenolide",219,0.295129727255377,8.91817153640887e-06,1.16927359369305,0.982830206804839,0.0672515184292402,0.190839963488249
"GSK319347A",220,0.314623665900865,1.92146743108793e-06,0.592543240509033,0.46002131788427,0.0835818865073246,0.178794886842119
"TGX221",219,0.413159389914322,1.94139603361713e-10,1.00398810538669,0.743924927245987,0.140414503598933,0.150700360512359
"Bortezomib",218,0.236141691428193,0.000437428373632143,1.57343806162796,1.17154105368705,-0.0161310624437172,0.183599894658165
"XMD8-85",218,0.401043192657612,7.8823935552099e-10,1.08045472572434,0.845668986447825,0.157260909245809,0.168946889929474
"Seliciclib",218,0.187191039179024,0.0055627044558434,0.974063573532855,0.782920110207897,-0.045330166741433,0.228004998351602
"Salubrinal",219,0.397560436950454,1.04024837566059e-09,0.97015592713616,0.784328087562097,0.15703721415287,0.181852147063655
"Lapatinib",218,0.363548421833095,3.25464823879417e-08,1.01622888641152,0.670643080148148,0.102972538034035,0.126258073560758
"GSK269962A",607,0.44395429275184,1.05079644916468e-30,1.25583015874542,0.968821094544224,0.188391750435658,0.131651560375847
"Doxorubicin",620,0.409858657910504,1.62518317505747e-26,1.23851604629001,0.946918825638062,0.166908055268264,0.149422303133088
"Etoposide",574,0.292772603633208,8.27984895672261e-13,1.9036964908582,1.49624249572759,0.0708325988313802,0.194001374211191
"Gemcitabine",619,0.463368820065314,2.84988840298124e-34,1.33458018184467,1.01571421295953,0.206681108568022,0.137355536474136
"Mitomycin-C",568,0.289796468592481,1.87978350144507e-12,1.49796730349575,1.21818877404099,0.0799439684209564,0.154469988135636
"Vinorelbine",575,0.332826043438921,2.43605770862346e-16,1.59371251755047,1.24812756351911,0.0903348268912513,0.18525815132375
"NSC-87877",574,0.231378359809681,2.05130670767539e-08,0.787042545767758,0.589433504484266,0.0405834845714083,0.148892709734457
"Bicalutamide",618,0.206738388755512,2.15842592153522e-07,0.830304736394104,0.596709967443204,0.0278612928406297,0.136221783547578
"QS11",570,0.335033217022751,2.03512333844536e-16,1.3213299093089,1.09723128114197,0.111924884244706,0.186437472520588
"CP466722",587,0.456403637439343,1.52883743568314e-31,1.12699848903922,0.867583914321628,0.204134235099559,0.145739485863408
"Midostaurin",576,0.38796017538558,3.95658716801253e-22,1.19687007192521,0.967452491984621,0.144622940944117,0.171027860694362
"CHIR-99021",621,0.416854163347265,1.68206281063346e-27,1.00712520923886,0.825470646504993,0.165548006287891,0.174111568169665
"Ponatinib",573,0.527571868864726,2.26222092962533e-42,1.4386522691515,1.06642764439857,0.237279828504532,0.126650654631521
"AZD6482",620,0.298448066644182,3.2003185217008e-14,1.22328100608658,0.946562253226816,0.086026897430412,0.139569895572142
"JNK-9L",574,0.272069967225116,3.36631582016476e-11,1.0173035497549,0.733972499149798,0.0652165000842259,0.120776623121489
"PF-562271",563,0.387100270584731,1.44264208398098e-21,0.998237314795581,0.801531591336671,0.140018853823671,0.148735086042546
"HG6-64-1",573,0.472419105386119,3.41199924360975e-33,1.50333668323405,1.18715914318599,0.217013188403562,0.148728133252135
"JQ1",620,0.447176764995283,8.19150453910051e-32,1.12141816173771,0.771042481155211,0.156972333853486,0.155980991287754
"JQ12",573,0.268595240789098,6.32213596026855e-11,1.57308456452685,1.28221894332318,0.071053871268939,0.183902634871752
"DMOG",572,0.43532287945119,7.50765855029641e-28,1.31688414712294,1.04807080633732,0.177856729884905,0.155718891808647
"FTI-277",575,0.276535163443796,1.49183428568341e-11,0.747476557133963,0.575182275428993,0.068989459939833,0.127183984615268
"OSU-03012",568,0.355865781636889,2.12114625901111e-18,1.18217980928854,0.86180137373205,0.120177864318685,0.147435071001082
"Shikonin",570,0.253546942454816,8.21670075222678e-10,1.3352591526622,0.990090832278749,0.0600074265411691,0.141215882641834
"AKT inhibitor VIII",594,0.53357208067687,5.19097970217057e-45,1.20233896289213,0.937452977179887,0.279269959429759,0.14041072020811
"Embelin",571,0.349888760469182,6.91418075653207e-18,0.9781318422118,0.749127656572734,0.111915781169673,0.15175916711456
