"","N All","Spearman Correlation All","Spearman P-value All","RMSE","MAE","R2","NRMSE"
"Erlotinib",217,0.296624765442862,8.79895091989444e-06,1.0714517739224,0.719488111143405,0.0566544353919247,0.144579186666324
"Rapamycin",201,0.291730849206599,2.64599509730772e-05,1.87183057968802,1.3903076969931,0.0721587622695478,0.197207406239042
"Sunitinib",221,0.514120740427455,2.61384347606365e-16,1.42483296250669,1.08982199758439,0.250599067033909,0.127840783631759
"PHA-665752",228,0.262101672124945,6.17147716260024e-05,0.832561472694754,0.57570429417885,0.0561462559271576,0.123321886751431
"MG-132",219,0.292093284944606,1.11256100025836e-05,1.40390958424692,1.11824164774527,0.0789150736540575,0.167839336356739
"Paclitaxel",223,0.226637393373901,0.000649924220307279,1.82905980057525,1.47954302226849,0.0366482235088625,0.220779140273247
"Cyclopamine",218,0.422236834516242,7.75998584451022e-11,0.902720863537997,0.718383874053765,0.171428374320708,0.181119989377829
"AZ628",222,0.585657846452823,7.78873270910774e-22,1.58039207658726,1.18099750843062,0.276552835002602,0.169710158272081
"Sorafenib",220,0.331335670515948,4.92290994665088e-07,1.18081055242252,0.874156338396177,0.105397768678672,0.115257938814718
"Tozasertib",220,0.448646971982668,2.71369860610865e-12,1.77327746349201,1.43652733242681,0.170116797309101,0.196463791117106
"Imatinib",228,0.465840873257918,1.1069826862092e-13,1.05410949088545,0.615824607094743,0.167559581810946,0.123606840081962
"NVP-TAE684",226,0.355275626434825,3.9841816956659e-08,1.51499758597091,1.18048339595572,0.100552441756121,0.159738107739456
"Crizotinib",227,0.443531470305542,2.3359982089511e-12,1.11069380114961,0.772434580862816,0.165623067961135,0.148706645438054
"Saracatinib",228,0.301724236622625,3.49294000663338e-06,1.14754048650475,0.873241160199207,0.0654961764104163,0.180798546242658
"S-Trityl-L-cysteine",222,0.346842334162885,1.13145472582891e-07,1.45360243214769,1.11489904262041,0.0850372204335602,0.232535760495557
"Z-LLNle-CHO",222,0.451122016923635,1.5789370180471e-12,1.14659870906611,0.863931019149135,0.153996923812389,0.205838323395262
"Dasatinib",218,0.463419493453402,5.2678647491561e-13,2.1927934292293,1.63661401406155,0.17707900650967,0.192800422146028
"GNF-2",222,0.410220839852648,2.02046715246217e-10,0.86356647373935,0.553062862015685,0.13359137903037,0.137259321747856
"CGP-60474",222,0.311111918321437,2.27712350242047e-06,1.14927544523888,0.838124877625521,0.0795794329699286,0.187007667793686
"CGP-082996",222,0.4810720181539,2.93030121470742e-14,0.964592984164458,0.804214382063015,0.215366875364098,0.192134304601508
"A-770041",222,0.409414440261137,2.2090918228162e-10,1.64229359287799,1.28385057086745,0.137838728295126,0.183819273360684
"WH-4-023",219,0.360135125650958,4.15481718777855e-08,2.01104742185456,1.43721561953981,0.0892297617888358,0.183162275568164
"WZ-1-84",222,0.406068920189565,3.19099345284904e-10,0.924098558775825,0.692865022427884,0.144862675675702,0.14909066952896
"BI-2536",222,0.315840705469314,1.56412816941815e-06,1.56393549756699,1.23032127242426,0.0680668745239463,0.226959207126086
"BMS-536924",607,0.335714355679447,1.86277711871078e-17,1.1225870668579,0.908083962178026,0.0968349077704612,0.186853688989371
"BMS-509744",223,0.287317124084864,1.30835552891228e-05,1.07678732075619,0.881721889958975,0.0775580658143056,0.197057015582509
"CMK",222,0.372680826807653,1.00903430181145e-08,1.17457575521027,0.970482075935371,0.135062673717372,0.184257119946593
"Pyrimethamine",221,0.109254742363938,0.105268689652369,1.3887155412072,1.14674917174065,-0.000317385753713539,0.212773750078478
"JW-7-52-1",219,0.296997611448196,7.77403293341379e-06,1.76926369342121,1.40687222875504,0.0776083326684801,0.197704167955022
"A-443654",222,0.210298998656733,0.00162707886633795,1.41546526917736,1.0555875480865,0.0244454619747032,0.188066232982427
"GW843682X",221,0.254235672360871,0.000132897798080029,1.78874530651622,1.39106464876677,0.0363411662311086,0.2269921436739
"Entinostat",218,0.3017684547747,5.72936144814701e-06,1.33363741928054,1.03755158824457,0.0818081046319141,0.185348977382186
"Parthenolide",219,0.308753113349292,3.20428198956948e-06,1.15211232791583,0.979074091195192,0.0944302341116761,0.188039031908162
"GSK319347A",220,0.380818808335039,5.29150019739648e-09,0.572475737062586,0.448072352275534,0.14460296993906,0.172739688229392
"TGX221",219,0.443346478380116,5.83959482451959e-12,0.994029405041547,0.73241688178693,0.157382630312134,0.149205542272785
"Bortezomib",218,0.288940658791765,1.46131025712982e-05,1.50024442642219,1.12961194726471,0.0762074224843596,0.175059143012992
"XMD8-85",218,0.500431027159817,3.22652445600056e-15,1.02763738652629,0.810105738772751,0.237640556252326,0.160688029118923
"Seliciclib",218,0.285782543653948,1.82759477462084e-05,0.913919067001734,0.750084589689403,0.0797743072510038,0.213926607079101
"Salubrinal",219,0.414285354434327,1.71404274011833e-10,0.962110285862459,0.780881116018284,0.170960859242468,0.180344021308607
"Lapatinib",218,0.410157768893333,2.96684527670076e-10,1.00885703018357,0.658089971483043,0.115939641547318,0.125342181109409
"GSK269962A",607,0.447956298874563,2.7060677203756e-31,1.25044138580882,0.961343470765505,0.19534203591824,0.131086642930064
"Doxorubicin",620,0.503813039056093,3.23054765312758e-41,1.19297736618954,0.933413422810226,0.227045254235307,0.143928232642329
"Etoposide",574,0.422367013943507,3.07433226105966e-26,1.81823556849042,1.46431006343396,0.152384588816746,0.185292246227649
"Gemcitabine",619,0.477931176409081,1.20852378429512e-36,1.34539146278081,1.02153637058142,0.193775876894345,0.13846823791625
"Mitomycin-C",568,0.307379905646241,6.79895698490022e-14,1.49611812575006,1.21500038784081,0.082214107446824,0.154279301420533
"Vinorelbine",575,0.343999199536679,2.04210291459439e-17,1.60096858691861,1.25297821091518,0.0820326775869861,0.186101619629492
"NSC-87877",574,0.265175643950931,1.08059162030964e-10,0.778291449098692,0.582142779477167,0.0618003034297723,0.147237177256306
"Bicalutamide",618,0.240058066341425,1.50088797453992e-09,0.822328750957451,0.592091617670128,0.0464484985696036,0.134913224275173
"QS11",570,0.349309954073908,8.434043655993e-18,1.31702540467678,1.10490941615701,0.117701635028329,0.185830114011246
"CP466722",587,0.482404550584461,1.52172693020396e-35,1.11042301767515,0.859099857383455,0.227372668742541,0.143596004130259
"Midostaurin",576,0.406537353546304,2.47049159710297e-24,1.19327601045516,0.964125187269815,0.149752423171609,0.170514283942093
"CHIR-99021",621,0.425701027357837,9.97108836342793e-29,1.0055264627995,0.824775751436264,0.16819518115897,0.173835177263043
"Ponatinib",573,0.53635005436867,5.39981424236564e-44,1.43907135175939,1.07592198293104,0.236835399615446,0.12668754824909
"AZD6482",620,0.366671646845286,3.64055106805198e-21,1.19764530936503,0.928239322911529,0.123932870207933,0.136644998106601
