"","N All","Spearman Correlation All","Spearman P-value All","RMSE","MAE","R2","NRMSE"
"Camptothecin",544,0.63232390961865,4.40807935254242e-62,1.53574604051756,1.1955621145413,0.382669300390935,0.149363973882421
"Vinblastine",507,0.650055140555567,3.26761243707717e-62,1.75978442796031,1.36126188350046,0.397002818315608,0.155495639709253
"Cisplatin",520,0.630357134822092,6.03359328914385e-59,1.52920651453599,1.23546693832755,0.386410968206067,0.157836989572191
"Cytarabine",509,0.694499484990511,1.65642906227441e-74,1.66331401834496,1.36023928463362,0.457525755686091,0.139739786794232
"Docetaxel",539,0.492073603068847,3.25406337451204e-34,2.68589225684894,2.12997324136628,0.196894275987275,0.217901413004477
"Gefitinib",509,0.389489336973372,6.93612247154784e-20,1.14103009992058,0.855718900687567,0.141984534602081,0.12623568586714
"Navitoclax",509,0.557083559701504,7.85368939551536e-43,1.71109582498285,1.3224961630578,0.291686819561619,0.129477512580623
"Vorinostat",514,0.610289760542605,9.06738142463169e-54,0.909154979427516,0.67733431264234,0.370406054499114,0.122810337304449
"Nilotinib",513,0.648124916446007,1.89644395051563e-62,1.43745683203874,1.03457789687298,0.385491932111482,0.102557532189673
"Olaparib",518,0.592491878899432,2.10023344588681e-50,1.07875172622372,0.864185738977833,0.342492501031968,0.125645871300598
"Axitinib",44,0.201444465211628,0.189772360426917,1.18330995956104,0.951138611817975,0.0273424051334912,0.199466614539287
"AZD7762",520,0.534391794904403,9.7605884885331e-40,1.27674590494242,0.979786988763982,0.285037472481078,0.104494014496737
"SB216763",83,0.152079214768947,0.169909896878541,1.29269603635223,1.02425867759276,0.00709285483438982,0.210744881404447
"KU-55933",43,-0.0660474377319626,0.673901299453864,1.22061259104967,0.938988569045887,-0.0575965135301659,0.241701443193751
"Afatinib",542,0.352778143514589,2.50096728298978e-17,1.40978191182345,0.978490397695299,0.111033073729318,0.121485732509721
"Staurosporine",525,0.444411297859755,8.00898695775692e-27,1.26674613275384,0.989270562277764,0.196094923031459,0.124745179582777
"PLX-4720",535,0.481320032826873,2.2486804355814e-32,1.24012369413802,0.979402311130386,0.223571354593056,0.125273472405817
"NU7441",43,-0.152114965743129,0.330168881969397,1.1839661820393,0.927719962555056,-0.149479929874655,0.212904767897378
"Doramapimod",42,-0.0662030321569574,0.677004487995444,1.35879708877056,0.970661402798344,-0.528593095554845,0.223761096275371
"Wee1 Inhibitor",512,-0.0272737346960335,0.538065904090558,11.217487072227,1.44040034626181,-49.1245347390571,1.1646428528874
"Nutlin-3a (-)",525,0.726570974310357,4.00371273118245e-87,1.24120663823056,0.927819687222345,0.499211941710302,0.119198641979263
