"","N All","Spearman Correlation All","Spearman P-value All","RMSE","MAE","R2","NRMSE"
"Camptothecin",544,0.0622900845051149,0.146805119913501,2.35682308096296,1.98794253494485,-0.453894961737255,0.229220490773203
"Vinblastine",507,0.086349424049651,0.0520001883185491,2.86801937251686,2.43360948100592,-0.601623758818711,0.25341996436742
"Cisplatin",520,0.0920848499626229,0.0357934278652485,2.7705342991866,2.24083501525,-1.01405984564053,0.285960587489913
"Cytarabine",509,-0.027606892707884,0.534318685738827,2.66421270255522,2.05521187715914,-0.391773032635353,0.223828159279265
"Docetaxel",539,0.0068453735483306,0.874017397609299,3.15509645906092,2.70299980278479,-0.108206847708894,0.255967071963402
"Gefitinib",509,0.0374389246284451,0.399295835478364,2.30998340980732,2.00939428218075,-2.51656488729727,0.255560602738735
"Navitoclax",509,0.0502334683768469,0.257951294240263,2.25743936434974,1.81940996982318,-0.232846049090145,0.17081897426786
"Vorinostat",514,0.038908174008392,0.378699486009244,1.6680156391982,1.23986924844358,-1.11926339116573,0.225318639741729
"Nilotinib",513,-0.0556550323867109,0.208225658406234,2.86636179834205,1.97315712902534,-1.44343044367779,0.204504918581646
"Olaparib",518,-0.0212114144652721,0.63005352171673,2.44505747443232,2.00402327330116,-2.37781490351502,0.284784134557552
"Axitinib",44,-0.00367000816539477,0.981137124439619,3.46129500628144,2.82963339907273,-7.32223881528221,0.583458958699892
"AZD7762",520,-0.00133085538793515,0.975847613002613,1.5179385079403,1.17908374594906,-0.0106079031572919,0.12423418617585
"SB216763",83,-0.201041834162562,0.0683856927850346,5.43282183933857,5.03957471406506,-16.537461400694,0.885698851103251
"KU-55933",43,-0.0149526071374054,0.924182368343693,4.95694741056607,4.45285332883721,-16.4418658604358,0.981557417770886
"Afatinib",542,0.0569768617923539,0.185341717482268,1.82136479683622,1.43849312491697,-0.483800837927943,0.156953238408961
"Staurosporine",525,-0.0383401465224059,0.380643320799524,2.23944783820437,1.82397897853333,-1.51250826806234,0.220533787725684
"PLX-4720",535,0.0312051765303597,0.471361831090789,2.57282456647775,2.11766275745794,-2.34188797020461,0.259898805947488
"NU7441",43,-0.0114413794025167,0.941951222279115,3.94959707595793,3.39251417644186,-11.791703455911,0.710229786543914
"Doramapimod",42,-0.209687057998001,0.182600921187271,6.73116778042838,5.45072061690476,-36.511420446551,1.10846092783794
"Wee1 Inhibitor",512,0.000699823069607783,0.987396751277482,3.75525150171529,1.75105547665234,-4.61742465451838,0.389884721427106
"Nutlin-3a (-)",525,-0.00259950203320952,0.952617420634609,3.01002163470796,2.59437243845714,-1.91457614512265,0.289065881646327
"Mirin",492,-0.0169131878184464,0.708236795574006,2.71239302898265,2.18733763489837,-3.81332677798881,0.325936773701032
"PD173074",514,0.0296125689699458,0.502936989138029,3.89064999829134,2.23475033877432,-6.1008240572072,0.353658673888037
"ZM447439",43,0.0526209579603205,0.737532203510778,3.45167366574365,2.8686831317907,-6.14543582781416,0.543574764934231
"Alisertib",496,0.0115280236617932,0.797872072561747,2.42166097565264,1.98226142406452,-0.180718506926114,0.215149094288532
"RO-3306",43,0.248824190096557,0.107618611715198,3.33419905457496,3.09677982783791,-7.48240227177103,0.625665631629349
"MK-2206",524,0.0775616658201587,0.0760795868091582,2.33594874697367,1.82302552452481,-0.981652807026044,0.235614942972435
"Palbociclib",523,-0.0109808498201754,0.802177607912523,2.65686809450163,2.15387747815105,-1.72588765061268,0.261152496990664
"Dactolisib",509,0.0512189874896308,0.248717845570709,2.35545364642772,1.54410719340688,-1.43209990958478,0.229988250540268
"Pictilisib",519,0.000321716392524687,0.99416629238966,2.01974906899326,1.26975636539884,-1.22891755286145,0.191301470892636
"AZD8055",83,0.149762232319765,0.176585959441287,1.42921803766798,1.12006287253012,-0.0427684358871538,0.201995769571694
"PD0325901",540,-0.00031510036029332,0.994171263300981,1.74556098756584,1.36439493444626,-0.0310851812440136,0.16511036587915
"Obatoclax Mesylate",492,0.0438343553624209,0.331903795618003,1.4421221891824,1.15084198218496,-0.687422000602029,0.184084944197425
"5-Fluorouracil",543,0.028445089438399,0.508327560769089,2.72045346337464,2.18215253377532,-1.31381618831675,0.250997916084222
"Dasatinib",514,-0.000839928116672703,0.984844193157851,2.4315101154633,1.90311179516926,-0.125094693125585,0.163485032926031
"Paclitaxel",513,0.0106389137196546,0.810031723399417,2.55583134007088,2.16974845391423,-0.392763696312555,0.272490429428998
"Crizotinib",501,-0.0420035487795657,0.348125015733237,2.1885593526705,1.78649131988024,-0.926085618292251,0.235891703872323
"Rapamycin",504,-0.0781486380256989,0.0796436120711789,1.82873430633337,1.45412544494048,-0.46604031117374,0.206515442387075
"Sorafenib",513,0.0194477867967724,0.660335671879752,1.79338525222568,1.34452285536062,-0.842905087839644,0.141274710455019
"BI-2536",39,NA,NA,NA,NA,NA,NA
"Irinotecan",538,-0.0288132244102289,0.504834873267971,2.36030919521851,1.88394915042751,-0.492901179474218,0.218702365634361
"Oxaliplatin",540,0.0644656141484236,0.134619614031208,2.45677366095192,1.99991352085185,-1.14365373460998,0.251779235876663
"BMS-536924",509,-0.0478373339341069,0.2813807411431,1.52278981400668,1.19382470485069,-0.323475533073794,0.151852200790347
"GSK1904529A",538,0.0138138832978616,0.749210436080794,1.92629379313575,1.54317517702602,-2.06402901222684,0.230331598592985
"Tozasertib",43,0.101809811471946,0.515931033899831,3.79381055528387,3.3503552652093,-5.25015720633715,0.51716850083221
"PF-4708671",43,-0.00178443185642248,0.990939021616461,4.58800049293347,4.20287577924791,-20.8759823980682,1.12392317073035
"PRIMA-1MET",492,0.0131104257589167,0.771758031993252,3.11078789279506,2.50114562499187,-1.84649025074263,0.335084150827994
"Erlotinib",509,-0.00174718334169947,0.968634168868575,2.06950734540599,1.75080087285855,-1.81484187994762,0.23510986679798
"Niraparib",492,0.0335274616897912,0.458092143268961,3.03461702674225,2.59022087528455,-3.04879505805901,0.347778051179706
"MK-1775",523,-0.0262490534936999,0.549198513120435,1.58525517528281,1.20297392542447,-0.29091383967195,0.20576727680574
"Dinaciclib",489,-0.0497321019095172,0.272375759295455,2.01858068723736,1.73061238254397,-0.921502219065128,0.247779213331813
"Gemcitabine",514,0.0463918049218579,0.293819475083089,3.2485708113135,2.83960118962143,0.000678821451113643,0.231701709884507
"Bortezomib",513,0.0396030416566507,0.370705663732273,2.6835859239991,2.26586396274074,-4.64592290455585,0.319960473776612
"GSK269962A",43,-0.222915349251408,0.150765987902704,3.36626483491929,2.9662478242093,-9.47266195546007,0.687452574899436
"SB505124",40,NA,NA,NA,NA,NA,NA
"Tamoxifen",513,0.0428274279198842,0.332995454609778,2.2940898968136,1.86251781902534,-3.47030635844436,0.373070731018184
"Fulvestrant",541,-0.0489909230454576,0.255309567801914,2.58122659545375,2.03191964674677,-3.33788982801371,0.341715224817726
"EPZ004777",538,0.0198185502507583,0.646475683074032,2.29765339674824,1.7852875819145,-4.87874276713549,0.396419915281057
"YK-4-279",509,0.0453679286610957,0.306990753855061,2.21151720056789,1.72109010299804,-0.601418030249937,0.230853114422595
"Daporinad",250,-0.136976054486164,0.0303767291971976,3.21345261099838,2.698119497172,-1.32022536170791,0.301997291241083
"BMS-345541",492,0.0891178743685056,0.0481961961269129,2.18261051610548,1.77342554529268,-1.84848235945402,0.310079938482329
"AZ960",492,0.0426148731572099,0.345543933028024,2.08588748306788,1.62434646822764,-0.474859890144911,0.190034120805894
"Talazoparib",506,0.0205433467384918,0.644786456101401,2.64037601003556,2.23613528784585,-0.526234536754478,0.21420600194669
"XAV939",492,0.000471045393164003,0.991684823997417,2.36675656821288,1.9182817348374,-5.16005755692223,0.425530150251304
"Trametinib",524,0.00851900021758779,0.845747868600744,2.28022680977044,1.78088633421355,-0.00313669611072354,0.15962080737067
"Dabrafenib",515,0.0329376557166436,0.455751710561682,2.84380856787009,2.37477108518252,-1.29663249221323,0.212078154410306
"Temozolomide",508,-0.0263694329329277,0.55319731348591,2.47030900223254,1.9719623009252,-3.20418486159737,0.318106521994706
"AZD5438",492,-0.0516276046758296,0.253036437006736,2.10079242899318,1.50132187879756,-0.901718085174253,0.234071423349821
"IAP_5620",490,-0.0304370257794849,0.501464491096508,3.0469333297052,2.63442476995918,-2.50049125658487,0.26523916614931
"AZD2014",492,-0.004739527481431,0.916486115089198,1.96315080942079,1.54784960747764,-0.824897423695081,0.211625167146869
"AZD1208",491,0.0387405700393949,0.391684070445492,2.16438588294855,1.80675985894094,-3.54758322761291,0.329352171883354
"AZD1332",492,-0.0462246222998671,0.306189305169307,2.1495231929596,1.7122495940935,-0.956524302631488,0.205112224419227
"Ruxolitinib",492,-0.0349096644721409,0.439759314038088,2.95221791118956,2.52922492259146,-5.91830150853932,0.314834735821705
"Linsitinib",541,0.012673652105273,0.768672617744621,2.09895856509518,1.69967465659889,-1.6527143687084,0.218417275461274
"Epirubicin",509,0.0158408498454546,0.72144400856807,1.6970404277062,1.3387430460725,-0.0552007610701803,0.180067255449525
"Cyclophosphamide",509,0.00430145836823643,0.922879522871224,2.45296685127294,2.04634634015717,-5.92497987782179,0.393934902585783
"Pevonedistat",508,0.0451956981415023,0.309310686170472,2.25513207914567,1.75929982526181,-0.0738540325371075,0.185994140178887
"Sapitinib",541,0.0246667332386245,0.566987587512255,2.46634476548223,2.05223685486137,-1.25847041675769,0.232100439845287
"Uprosertib",540,0.0343227245736784,0.426046946027851,2.27367493567805,1.79733337738889,-0.421940397107403,0.189529564852264
"LCL161",491,-0.0112289334674943,0.80398726156359,2.47002115357599,2.02376358692464,-4.39539505407568,0.300013148671274
"Lapatinib",513,0.0236010733855206,0.593810077139998,2.27254491545888,1.68770608796686,-0.95174007781829,0.22713842381132
"Luminespib",541,-0.018763018441076,0.66323903107479,2.13139129887383,1.80154516156007,-0.226858075965829,0.192696637339889
"Alpelisib",541,-0.0715690342723776,0.0963252672106207,1.80834835710529,1.41877070079482,-0.567897104035605,0.201905513370961
"Taselisib",542,-0.0534335232496172,0.214238204326441,2.22242237036803,1.77203870704797,-0.505636071462672,0.169516657404367
"EPZ5676",538,-0.0164222341576934,0.703907894341189,2.43927588514077,1.89730037672862,-4.70096222477567,0.338701854323961
"SCH772984",541,-0.0204605751133643,0.634894040170626,2.26825507625167,1.86698754578928,-0.646456739532089,0.210888534537079
"IWP-2",491,0.0257168696657922,0.569702729424302,2.16998391671946,1.882937299611,-4.67149885150952,0.356205493142987
"Leflunomide",492,-0.00655957750326999,0.884608283535524,3.06862803250663,2.05048558007317,-11.3542525154662,0.479653449797945
"Entinostat",496,0.00628969508237686,0.888876393588857,2.12185440858896,1.6765023979254,-0.744204101610305,0.240275088398193
"OSI-027",191,0.0807813567847676,0.266607677018933,3.69625487543808,3.29165536793717,-3.94429117638079,0.513125995596816
"LGK974",541,0.060963651058454,0.156770853019006,2.17684663925266,1.6581110887061,-2.91196679223342,0.30496885431544
"VE-822",489,0.0714211075751572,0.114719060448107,2.56476084525783,2.1188924192229,-1.16489112559665,0.259732480500052
"WZ4003",489,0.0610370976729622,0.177807439474429,2.21533318581796,1.79214343186094,-1.58813507974991,0.288366379508833
"CZC24832",489,0.058927636927884,0.193298553178902,2.98957337786593,2.54957745380368,-7.87354350192334,0.516224163371471
"AZD5582",483,0.0332143671537214,0.466448087806774,2.49908791489257,1.83653442556936,-0.13112789620741,0.182095180541681
"GSK2606414",485,-0.0211783867750977,0.641749379937678,2.10944763894132,1.68148113760825,-1.9380652654529,0.208047391890963
"PFI3",489,-0.013031305023128,0.77377509008768,2.28107857169415,1.84473105083845,-5.55025383265942,0.392634927106704
"PCI-34051",489,-0.0636214785587671,0.160108578020122,2.16984184397018,1.73704429916155,-1.84305443445719,0.29775110775879
"Wnt-C59",489,0.0177291887995492,0.695738813655251,2.37264728089661,1.98757802903067,-3.49827855285723,0.386098152978232
"I-BET-762",489,0.142392319658435,0.00159504212009746,2.1526822423057,1.76529265821063,-0.788277242174279,0.244804888803817
"RVX-208",489,0.0633679774354477,0.161783568110026,2.53908182488095,2.10378267376278,-4.36454943124502,0.417419840774168
"OTX015",489,0.0442846592893718,0.328442834571822,2.24128282404149,1.82327846022904,-0.420504716866606,0.21855510536191
"GSK343",488,0.0965700329289141,0.03293966777866,1.86889900068052,1.39270886901639,-2.93357760415805,0.347640825521474
"ML323",489,-0.0401241306219869,0.375960058072958,2.78868363845282,2.34617898695297,-6.1270751642597,0.508772372779765
"Entospletinib",489,0.0518114012578388,0.252806428247306,1.99195327627703,1.59940421593047,-1.74733853553603,0.265680559152927
"PRT062607",489,-0.0213535277778026,0.637609918659173,2.38133405353067,1.9351724293865,-1.91540689127524,0.287418074833442
"Ribociclib",42,0.225111259094351,0.151762910483714,4.40770051843175,4.10924952466191,-17.6020436449157,1.05507504956934
"AGI-6780",489,0.0393913951917207,0.384746730908955,2.29672194347169,1.84740774038855,-3.45895006694842,0.371619033448903
"Picolinici-acid",489,0.046848569509161,0.301185262019787,2.74714497021126,2.23773303703477,-9.78026614521761,0.581455320514037
"AZD5153",492,0.00206364574097488,0.963583243445923,2.17230757269243,1.77234035912602,-0.21809667534044,0.214248292488823
"CDK9_5576",492,0.0363744917285184,0.420796925953104,1.50540225954378,1.19190635049685,-0.00676082925788735,0.169077797295386
"CDK9_5038",492,0.0844227107182761,0.0613222537645575,2.12638184017055,1.76257880760976,-0.231617958591994,0.205452443707883
"Eg5_9814",490,0.0111507097065492,0.805520662869779,2.40735392603416,2.02773460370612,-0.811834348440259,0.259463940949878
"ERK_2440",492,0.0083343778537982,0.85370091084535,13.1980846235075,2.36806724601626,-69.2335566540472,1.38679772653082
"ERK_6604",492,-0.0720185415821727,0.110609969613476,2.83038190328953,1.68406369496748,-2.35709139299428,0.287125304183889
"IRAK4_4710",492,-0.0354799304894011,0.432319674203779,2.62999694161191,2.12855479239837,-5.54556976753866,0.302168601269329
"JAK1_8709",492,-0.0291220679098941,0.519282157811671,2.18444355764599,1.73126353296748,-2.01658393968169,0.217121111152679
"AZD5991",489,-0.00295398816259994,0.948050173341551,3.40600924481387,2.9953893091411,-0.450560568680219,0.24099502832808
"PAK_5339",491,-0.0589177094580505,0.192460728250095,1.72099336498021,1.4475742311609,-1.92600055404324,0.185895476325803
"TAF1_5496",491,0.0407041790178912,0.368110401201544,2.28838467857203,1.87430544942974,-1.07223364305474,0.266046137593421
"ULK1_4989",491,-0.0480759063188117,0.287695546478244,2.12789701099844,1.60307397798167,-0.621922750710191,0.146745607694038
"VSP34_8731",492,-0.00537556245924868,0.905328190204007,1.93529298653268,1.62973904955488,-2.25783650433952,0.167953083922665
"Selumetinib",492,0.0491675154964939,0.276386522000364,2.20884852017154,1.81554471339431,-0.376416510154515,0.202524321104715
"IGF1R_3801",491,-0.0374030258985216,0.408252567100854,2.15085881612498,1.73381260880244,-0.205109208787474,0.223256650845818
"JAK_8517",492,0.0134947635163523,0.765260106088091,2.52687884824075,2.03731789381301,-1.18253894642201,0.254499180944777
"AZD4547",515,-0.0702628977737467,0.111246997206568,1.83787285165164,1.45107507607961,-0.314231591064053,0.147358142072669
"Ibrutinib",486,-0.0170040023719369,0.708462414788743,3.15822483771517,2.70361663545267,-2.42092372750523,0.263539006605043
"Zoledronate",489,0.0237135385833602,0.600892712292957,1.77341542459404,1.39989318419223,-2.52769016462985,0.318118311679694
"Acetalax",489,0.0298399872464623,0.510332675254598,3.51574807399266,3.04675923828221,-1.43635122135908,0.329241901224721
"Carmustine",489,0.00259809509166054,0.954301733421898,2.2830896176605,1.7511410699182,-4.25156339697813,0.370864606539226
"Topotecan",489,-0.120590271628169,0.00759466335019932,1.97483464043105,1.57397688044493,-0.0494449632288638,0.182134212560128
"Teniposide",489,-0.0440946754842349,0.330524174127601,2.05292184799132,1.6230068949816,-0.0471714884408378,0.179606466463127
"Mitoxantrone",489,-0.0769000812653892,0.0893791076874342,2.31998338925502,1.81781825317178,-0.0990582327816834,0.201105567504906
"Dactinomycin",536,-0.000103439536948099,0.998093690007126,3.14395879853862,2.73196501173507,-2.28085021346431,0.291994635414158
"Fludarabine",489,0.0730137772088131,0.10683152383548,3.25158724894669,2.84874379202454,-1.80470254238665,0.281107736972408
"Nelarabine",489,0.0177471482574483,0.695445972188624,3.25707353519145,2.8116233607362,-7.59917320862748,0.388121987810773
"Vincristine",486,-0.0151694569072522,0.738700353039704,2.80288895263016,2.37884676952058,-0.138521136165008,0.206273475494002
"Podophyllotoxin bromide",489,0.0655515969823928,0.147781469518434,2.17576373397728,1.38695666797137,-0.891669765119981,0.239243351861746
"Dihydrorotenone",487,0.0300172424082254,0.508696034763391,1.63528613254528,1.28851619245934,-0.0756685429986517,0.187596880281508
"Gallibiscoquinazole",489,-0.0343143926681028,0.44899774982522,1.67846937445021,1.33016114754601,-2.41065831772156,0.295081200136601
"Elephantin",489,-0.0473204831778827,0.296336804316912,2.40524626348354,1.94508050748671,-1.76225308228767,0.343081987698174
"Sinularin",489,0.0605146844394055,0.181555177991581,2.1170223043001,1.72011987865235,-3.48746872345844,0.363841497447224
"Sabutoclax",488,-0.0654640575675044,0.148742090717972,1.40855622201382,1.11135357067357,-0.0609396749244313,0.169933197506469
"LY2109761",489,0.0401103057432455,0.376124688871343,2.56047252011815,2.13264187378323,-6.08753096254181,0.404727373966598
"OF-1",489,-0.00808540747841583,0.858455390964312,2.79602399720446,2.2743787530184,-4.35268743546771,0.349341865714996
"MN-64",489,0.0587722497482589,0.194477569606826,2.3768282519304,1.97314924635992,-3.92853697631671,0.348355714315714
"KRAS (G12C) Inhibitor-12",489,-0.0091289291203809,0.840418097875402,2.70963300176243,2.16619152147239,-1.95007852288672,0.291055533050441
"MG-132",525,-0.00723332402332998,0.868673705188692,1.17878789007488,0.951788009895238,-0.740779257201433,0.141847617906013
"BDP-00009066",509,-0.000806534658960021,0.985517979768986,2.11334265793837,1.71700191616896,-1.99389532335543,0.264640413861349
"Buparlisib",509,-0.0887164657798517,0.0454398380212487,1.1187961878777,0.834329927705305,-0.4953073312692,0.193985221819371
"Ulixertinib",515,-0.030646699688144,0.487708954213893,1.81132544829683,1.47752733133981,-0.392708415165003,0.227180284682739
"Venetoclax",513,0.00369240990923411,0.933511602109196,2.12238273423993,1.70470574298246,-0.416693584187734,0.161718066840755
"ABT737",508,0.0195202877074019,0.660717370000157,2.25076371427492,1.87991049463583,-0.29573672137578,0.201099247784385
"Afuresertib",509,-0.0370206045569193,0.404588065815873,2.25766371289904,1.86270763687623,-1.06924290491245,0.225589035748902
"AGI-5198",509,0.0319038506638275,0.472635903815846,2.73766727340135,2.27430634790963,-7.60780059471831,0.440605539847837
"AZD3759",514,0.0225329413688596,0.610277011831438,1.72234275791811,1.3832656592607,-1.64536759542151,0.196034400709739
"AZD5363",509,-0.020654577352142,0.642008489246459,2.25373007041548,1.85230860365422,-1.24449022551957,0.224767012698611
"AZD6738",509,0.00904740038755987,0.838649694508036,2.00625033939536,1.59929684888016,-0.709173105363742,0.231795957594185
"AZD8186",509,-0.133813848840663,0.00248492102818262,2.10314457414747,1.6997596150112,-1.28498991376847,0.220199038095529
"Osimertinib",509,0.0791212221859043,0.0745107688428158,2.28382611697828,1.51930212590511,-2.12059823158074,0.235528887897068
"Cediranib",509,-0.0318188817768775,0.47381653137924,1.69760788950305,1.29592837473281,-0.996325272372081,0.200750005144437
"Ipatasertib",509,-0.058420141858328,0.188206904569944,2.34420617969385,1.69549862424361,-1.36071585115085,0.24200902887798
"GDC0810",509,-0.0609969762826314,0.169425907307119,3.71265424558364,2.3700012202554,-13.2834812403303,0.542598971871909
"GNE-317",497,0.0635990120350374,0.15686109112923,1.47800229706604,1.09518001515091,-0.193209969408524,0.180984054211135
"GSK2578215A",509,0.0277486707957779,0.532220706927047,3.00720683730715,2.07808578779961,-8.14651365321366,0.462906433342234
"I-BRD9",509,-0.00715625711815198,0.872048003888451,2.28898795330961,1.81847856968566,-2.01343030123326,0.320368796014362
"Telomerase Inhibitor IX",509,-0.050696142313735,0.253587340229638,1.37371322426322,1.03228154318075,-0.100501593085406,0.170555399647696
"MIRA-1",508,-0.0736827229615129,0.0971382210727302,2.67406156192441,2.25308140593701,-3.84779167605249,0.33513587691402
"NVP-ADW742",509,0.0385244059293308,0.385758296181446,2.01834101487168,1.57216522045187,-0.909627294722909,0.221341236688369
"P22077",509,-0.089708385445857,0.04307130665757,2.62809984897241,2.03807081707269,-2.3248340992858,0.319061132603641
"Savolitinib",509,0.0404003763454008,0.363031120341032,2.0451152235728,1.68511812363458,-1.65305283189723,0.177075605168135
"UMI-77",509,-0.0603287252330372,0.174156159666135,2.29565463100372,1.78483729213811,-1.84432337860636,0.284800320846019
