"","N All","Spearman Correlation All","Spearman P-value All","RMSE","MAE","R2","NRMSE"
"Camptothecin",544,0.492885619345611,1.21461188967111e-34,1.76696680230118,1.35863583443534,0.182785909141711,0.171852100768611
"Vinblastine",507,0.530028415788785,4.55319740725301e-38,2.00148716438543,1.53265980628335,0.219986785748769,0.176852642886889
"Cisplatin",520,0.527133982312587,1.59165590548041e-38,1.70269340295782,1.35649285491094,0.239291593593502,0.175743431860045
"Cytarabine",509,0.608243160058266,8.00880678321713e-53,1.82652627317694,1.49970262697716,0.34584227381012,0.153451716977518
"Docetaxel",539,0.37582977750234,1.58665447074503e-19,2.90130479337356,2.24501725421923,0.0629079403155312,0.235377429016624
"Gefitinib",509,0.29736931994993,7.49006515147539e-12,1.18972146182815,0.876163138225687,0.0671936242175002,0.131622561696827
"Navitoclax",509,0.481919042498598,5.85161758098266e-31,1.78895855308854,1.3977274979692,0.225757124356128,0.135369334774724
"Vorinostat",514,0.572073068953772,5.19472392116376e-46,0.948125873074118,0.7085130133403,0.31527419435572,0.128074597746391
"Nilotinib",513,0.5630276996009,3.08774114223814e-44,1.52450082306025,1.09980544853775,0.308816610313268,0.1087678174046
"Olaparib",518,0.519144544065141,4.36710529884273e-37,1.16276975501644,0.921927456799347,0.236084791177133,0.135431735995873
"Axitinib",44,0.163545255105953,0.288795161914298,1.18587756763972,0.97170526153094,0.0231167785733744,0.199899427672295
"AZD7762",520,0.460248118605608,1.26856266643353e-28,1.35502034345568,1.05488559574355,0.194684674296505,0.110900309031199
"SB216763",83,0.152109910462599,0.16982271549464,1.32710847138569,1.0421640841708,-0.0464744864110385,0.216355051418141
"KU-55933",43,0.0307835557535342,0.844641987994189,1.23418767040117,0.94180464356511,-0.0812515083409111,0.24438953300602
"Afatinib",542,0.274256142769501,8.29592819446394e-11,1.44557966541768,1.00420011221154,0.0653138738919378,0.124570547459554
"Staurosporine",525,0.400235157954114,1.2868284621273e-21,1.30729649436361,1.02251188703415,0.143802825405849,0.128738451802334
"PLX-4720",535,0.419588265986391,3.15357032492675e-24,1.29136380246399,1.00792381347431,0.158084012384243,0.130449590180832
"NU7441",43,0.0664186808407689,0.672171045400482,1.12526222178861,0.855159316805751,-0.0383177413280424,0.202348424970164
"Doramapimod",42,-0.0365877764877999,0.81806302223133,1.16436720767842,0.873847635367774,-0.122438642327637,0.191743185947619
"Wee1 Inhibitor",512,0.498084677076918,1.86484631676212e-33,1.39495529175803,1.04429906953472,0.224860664117953,0.144829648581971
"Nutlin-3a (-)",525,0.551530540265322,4.08330888361921e-43,1.47698919567119,1.13237656585769,0.298236447347862,0.141841898777652
"Mirin",492,0.445609812506573,2.24644314234526e-25,1.11819515827314,0.816064614945895,0.181958525476131,0.134368772652525
"PD173074",514,0.49791522304441,1.48275325148317e-33,1.27641589461404,0.93455566488473,0.235726445992761,0.116025741924116
"ZM447439",43,0.0968592534716055,0.536649051190424,1.31452442801975,0.954054686992939,-0.0363503230385331,0.207013285772829
"Alisertib",496,0.551316972936216,8.78210501265071e-41,1.87557588387371,1.49979967814164,0.291746117605994,0.166632925393733
"RO-3306",43,-0.377879348374175,0.0124788881792512,1.29681759245087,1.00738239244099,-0.283197791814169,0.243349057692135
"MK-2206",524,0.456429338873874,2.51643101174118e-28,1.50021979800832,1.20389053976853,0.182644983804048,0.151319331218971
"Palbociclib",523,0.577340104296978,8.1368170889158e-48,1.32626952611074,1.08778019413829,0.32074702873718,0.130363490435686
"Dactolisib",509,0.374115986926906,2.35095751586753e-18,1.43044493942273,1.1299065804809,0.103036896543235,0.139669710593096
"Pictilisib",519,0.22420788804107,2.45182393508796e-07,1.35617269720638,1.06365492422777,-0.00491462025409062,0.128450526722773
"AZD8055",83,0.041627513045317,0.708660836895782,1.43742648487554,1.19898782403931,-0.0547807242896257,0.203155894595994
"PD0325901",540,0.442829130184483,2.43535847568573e-27,1.5414058210697,1.18522201939999,0.195995498028853,0.145799591591452
"Obatoclax Mesylate",492,0.401120738759915,1.92084392490977e-20,1.03001011174587,0.782566272780984,0.139199391513909,0.131479395689084
"5-Fluorouracil",543,0.455315864742471,3.80986724433331e-29,1.60378533207058,1.28071875258022,0.195846924522445,0.147970469488131
"Dasatinib",514,0.432125374474519,8.46554079317874e-25,2.07162294225938,1.5666771039034,0.183307929570127,0.139287656165504
"Paclitaxel",513,0.427582669475538,3.22871246840342e-24,2.00526637793635,1.65545378598419,0.14265188029218,0.213791844507335
"Crizotinib",501,0.50658745560492,5.14130181820749e-34,1.36205560233835,1.04398739053943,0.253983205929802,0.146807815110149
"Rapamycin",504,0.384771351137055,3.12906034901502e-19,1.40492396620361,1.12953942243873,0.134732622953762,0.158655357093658
"Sorafenib",513,0.531621663594865,9.19352667296836e-39,1.1216794992631,0.808096124035095,0.279069588951387,0.0883607949184722
"BI-2536",39,NA,NA,NA,NA,NA,NA
"Irinotecan",538,0.525037798586942,1.89975084487152e-39,1.68666294563995,1.33219707955794,0.237657955452579,0.156283412777675
"Oxaliplatin",540,0.536946238318314,1.17621887010726e-41,1.43376020820326,1.15850178736869,0.269908342059674,0.146937039984347
"BMS-536924",509,0.270657710628643,5.38218338068724e-10,1.28561745021429,0.988226994266654,0.0566789885432516,0.128201434888675
"GSK1904529A",538,0.435946561216472,2.29737942406158e-26,1.00675609617525,0.769731399797319,0.163056080041263,0.120380256558786
"Tozasertib",43,0.350819359076941,0.0210807190003274,1.43781866569244,1.10903604258547,0.102265543128007,0.196002017752067
"PF-4708671",43,0.197733361045329,0.203725269141653,0.995361894729787,0.776606239285157,-0.0296335251845354,0.24383395304162
"PRIMA-1MET",492,0.460488480051653,3.40722908958894e-27,1.65447271645887,1.3979947653801,0.194829008081906,0.178214524541107
"Erlotinib",509,0.300802613783213,4.18203596537491e-12,1.18377837177789,0.923305069611761,0.0789973889935246,0.134485135278623
"Niraparib",492,0.60643133350933,9.740724959699e-51,1.20728400208123,0.948696756958195,0.359178749318716,0.13835909894534
"MK-1775",523,0.502688921062682,7.68452303514092e-35,1.24467055188871,0.95928057164087,0.204193051987227,0.161559144531256
"Dinaciclib",489,0.449259270749975,1.1527250412968e-25,1.31888620028337,0.947274206023179,0.179717755528189,0.161892257885241
"Gemcitabine",514,0.474541359266331,3.17691673692518e-30,2.9525860033304,2.42273359967247,0.174483935239773,0.210590830641646
"Bortezomib",513,0.309694961802743,7.25939129859794e-13,1.09255996905247,0.792013002921534,0.0641753052828733,0.13026450996078
"GSK269962A",43,-0.158962016911486,0.308601955739712,1.12776503705402,0.911806499710035,-0.175432724722502,0.230310155802976
"SB505124",40,NA,NA,NA,NA,NA,NA
"Tamoxifen",513,0.438997375944304,1.40100242331916e-25,0.985480686295831,0.770200672107956,0.175078434713272,0.160261374478544
"Fulvestrant",541,0.463304047215409,3.8604584560914e-30,1.10341935420435,0.873289007603114,0.207302570243881,0.146075975411949
"EPZ004777",538,0.573337174751015,2.44389776097455e-48,0.781053721033729,0.616598591046649,0.320675562480957,0.134757161528515
"YK-4-279",509,0.503727109672035,4.18852560969287e-34,1.56808532753006,1.19582127765542,0.194874738628667,0.163687346156627
"Daporinad",250,0.428215768502066,1.43356035119825e-12,1.97633852390239,1.41075437233924,0.122374885588687,0.185734458554373
"BMS-345541",492,0.544198299309433,2.82584100706087e-39,1.11087252162183,0.856058654804626,0.262113616822275,0.157819858662112
"AZ960",492,0.533374814774017,1.61598818654456e-37,1.46299012717565,1.16587632201722,0.274475972873908,0.133285253793567
"Talazoparib",506,0.454768145553713,3.40399134681484e-27,1.93573819502635,1.55718458471161,0.179680643601555,0.15704079191604
"XAV939",492,0.340245680733258,8.45589319451046e-15,0.910070093458708,0.709663540858416,0.0891910830604381,0.163625726789942
"Trametinib",524,0.442466060797543,1.5741662362099e-26,2.04539209372804,1.53864601445876,0.192844578092051,0.14318186944891
"Dabrafenib",515,0.563125983582435,2.01879578020939e-44,1.55766853428325,1.13244519394014,0.310965635503836,0.116163750143427
"Temozolomide",508,0.605307154693074,4.22677713440058e-52,0.959320615119081,0.734154446034995,0.365974395875902,0.123533591982849
"AZD5438",492,0.474651287308316,5.19790261733432e-29,1.35556813761165,1.01175784656794,0.208187134514489,0.151038131630402
"IAP_5620",490,0.30800675396915,3.15177962869771e-12,1.58037327374884,1.01477014646006,0.0582785830810912,0.137573370984902
"AZD2014",492,0.308272797097035,2.72129776072769e-12,1.39358287515852,1.08475040170061,0.0804047208860456,0.15022646628735
"AZD1208",491,0.585779618217425,1.44583153399264e-46,0.827770773431019,0.644232735255912,0.334831847170395,0.125960950031547
"AZD1332",492,0.327387080946896,9.3621710220529e-14,1.45918465255234,1.14820848613504,0.0983842653088826,0.13923860459087
"Ruxolitinib",492,0.534497641364446,1.0692568119584e-37,0.955162401659963,0.701561806049015,0.275802366431231,0.101861824377412
"Linsitinib",541,0.493242091751574,1.63027676137326e-34,1.12249085054443,0.852001324969877,0.241337918050194,0.116806209223576
"Epirubicin",509,0.526846766762439,1.07263352309911e-37,1.44268703080478,1.12449055925567,0.237403207482081,0.153078671473239
"Cyclophosphamide",509,0.519297461075531,1.71257307541684e-36,0.804389890347953,0.621191847586203,0.255322272811429,0.129181221071442
"Pevonedistat",508,0.473719529439423,8.87446622615139e-30,1.98405910126513,1.52335997554409,0.168790503640556,0.163637141263895
"Sapitinib",541,0.374538485151292,1.84928906215357e-19,1.53022647009651,1.13911975621916,0.130602763834532,0.144005104940329
"Uprosertib",540,0.383298765489777,2.42541349596043e-20,1.78106014470895,1.44791014721314,0.127467093294016,0.148466057704828
"LCL161",491,0.338100890270039,1.35373911573048e-14,1.01097211948328,0.753082820271335,0.0961418843605394,0.122794466090276
"Lapatinib",513,0.360236324779137,3.6466967642059e-17,1.52958102004374,1.20365668228143,0.115817324719651,0.152879980334423
"Luminespib",541,0.378330589334392,7.47166566959483e-20,1.84666119750755,1.39570399776841,0.0790365461530621,0.16695451616687
"Alpelisib",541,0.300244843923137,9.8506155507544e-13,1.39993645089637,1.11921938982025,0.060341580721529,0.156305551800546
"Taselisib",542,0.268124011715105,2.2346230925211e-10,1.77499149708225,1.39669612478965,0.0395840477973276,0.135388587479314
"EPZ5676",538,0.588231263491603,2.17811092135976e-51,0.82900493888728,0.648447355378703,0.341523084257975,0.115110189772011
"SCH772984",541,0.404509060513885,1.02736562757397e-22,1.61919147103655,1.22764707000296,0.160998076872478,0.150542555833764
"IWP-2",491,0.509341607469108,9.04985757468034e-34,0.795239554441458,0.616224744727195,0.238305595719777,0.130539537862045
"Leflunomide",492,0.604179908133751,2.8048162740352e-50,0.698778673482569,0.545121714625612,0.359370015756581,0.109225229591401
"Entinostat",496,0.503787019675097,2.78690507235109e-33,1.39904993021247,1.09215156118174,0.241714818655472,0.158425971308197
"OSI-027",191,0.421429279457358,1.26960713882421e-09,1.51830954532522,1.13977330236391,0.165741072032751,0.210776616690107
"LGK974",541,0.464091826681088,2.99903951206451e-30,0.981502520932847,0.75865387929494,0.204715842932077,0.137505184756318
"VE-822",489,0.514778053497978,1.92921997188014e-34,1.50397994268557,1.20376614469122,0.255565658700749,0.152307550178925
"WZ4003",489,0.408899798563326,3.92468363257932e-21,1.26341248287143,1.01569105056805,0.158218921056495,0.16445638328547
"CZC24832",489,0.527409728073278,2.31073304279414e-36,0.860192568226455,0.67714370882146,0.26536769889377,0.148533630971801
"AZD5582",483,0.274794642417073,8.13752936604658e-10,2.31976495797721,1.69005242074115,0.0253770987193895,0.169028875022703
"GSK2606414",485,0.451452919809258,9.93734931965503e-26,1.10812238231345,0.854256854370877,0.18922678363885,0.109290208147578
"PFI3",489,0.515163992381888,1.68987670430623e-34,0.769584533129952,0.586256448881475,0.25442677728826,0.132466181050269
"PCI-34051",489,0.537806145634219,5.25282917039629e-38,1.09694950761296,0.858115415396243,0.273388461705053,0.150526146389362
"Wnt-C59",489,0.518837128924832,4.74951854359794e-35,0.96027052609398,0.751926596069867,0.263170199113992,0.156263714151483
"I-BET-762",489,0.518372742814701,5.58095661950264e-35,1.38286010642661,1.11296210614085,0.262042265103805,0.157260048850686
"RVX-208",489,0.537429548515331,6.03842287190034e-38,0.927469751785722,0.734954564826281,0.284220316931204,0.152474123645623
"OTX015",489,0.476974181539857,3.79468875265441e-29,1.65991675129643,1.33929936634857,0.220848394910856,0.16186412378667
"GSK343",488,0.492585232533415,3.41686035004706e-31,0.825344247122471,0.627744537561561,0.232839354362952,0.153525340483664
"ML323",489,0.530052352268571,8.94169824169432e-37,0.889771030255853,0.691105835356198,0.274446627767664,0.162331399679715
"Entospletinib",489,0.365256389958865,7.03270604036095e-17,1.14067101427693,0.939043702651172,0.0991039250061331,0.15213916736493
"PRT062607",489,0.407516162035018,5.47755625867379e-21,1.28950600630097,1.03397159148034,0.145119777852428,0.155638530960272
"Ribociclib",42,-0.0511799223355002,0.747539744832994,1.0588627139395,0.835152873224405,-0.0735340230852566,0.253460875058348
"AGI-6780",489,0.532615632797875,3.53170353668428e-37,0.926590294481296,0.728186207899186,0.274242950078634,0.149926111263507
"Picolinici-acid",489,0.515000020864285,1.78774282394491e-34,0.723649741464925,0.560538575679543,0.251962880935847,0.15316628606281
"AZD5153",492,0.538689481412772,2.25690201330833e-38,1.66108183183357,1.32759532770015,0.287768492767445,0.16382760463034
"CDK9_5576",492,0.412641353046533,1.19121901695952e-21,1.38867398391377,1.01597975550155,0.143313779876716,0.155967574030813
"CDK9_5038",492,0.467632655509027,4.23317823096563e-28,1.70714720247964,1.26927938847176,0.206155491189466,0.164945711016036
"Eg5_9814",490,0.51135934396538,5.31499251534666e-34,1.57261750264245,1.241933385121,0.226812525877302,0.16949627989041
"ERK_2440",492,0.24944746875209,2.048822531003e-08,1.53911876751854,1.21666575957187,0.0448598260067858,0.161723952266066
"ERK_6604",492,0.338765849201746,1.12159169824745e-14,1.45491313862702,1.10262506857053,0.112951800803374,0.147592230223034
"IRAK4_4710",492,0.352282348010545,8.03008394657267e-16,0.980052758622831,0.75599441247543,0.0910586097400893,0.112601336738325
"JAK1_8709",492,0.547274504903987,8.70850232606518e-40,1.05460009790085,0.811824654096237,0.296912505096382,0.10482117712609
