"","N All","Spearman Correlation All","Spearman P-value All","RMSE","MAE","R2","NRMSE"
"Camptothecin",544,0.353997265434892,1.66827048821994e-17,1.83783522587988,1.46656179230451,0.115918690772479,0.178744639697072
"Vinblastine",507,0.393370724961315,3.278719647651e-20,2.1056003185771,1.66719852595009,0.136726883020422,0.186052145539578
"Cisplatin",520,0.371474618496684,1.84846351977767e-18,1.81486166207022,1.49574638170663,0.135763982412955,0.187320874262733
"Cytarabine",509,0.448911746711656,1.31049692037982e-26,2.02154835782442,1.62913878545712,0.198693072655034,0.169836082303749
"Docetaxel",539,0.28841825972836,8.72744811570888e-12,2.92503501869195,2.36465939110313,0.0475160053628857,0.237302617793131
"Gefitinib",509,0.213747601876019,1.13380888092161e-06,1.20790275536067,0.894026422736205,0.038465530509909,0.133634014382597
"Navitoclax",509,0.296707907971014,8.37256720080142e-12,1.94256877725792,1.49726590670192,0.0870868388208519,0.146992920924613
"Vorinostat",514,0.468775953720196,1.92706819369292e-29,1.01455756333209,0.77145176956486,0.215960243406627,0.137048313419623
"Nilotinib",513,0.440720248705532,8.63470216214681e-26,1.66067290694143,1.16931213674829,0.179825679925471,0.118483220722953
"Olaparib",518,0.339767717621376,1.83398478117084e-15,1.25227942845214,0.976572836040965,0.113945989305487,0.145857231163357
"Axitinib",44,-0.137747265904059,0.372570504169556,1.24922397438276,1.0077087690592,-0.08403564621648,0.210577520249957
"AZD7762",520,0.31832935670463,1.03893463635441e-13,1.43153358114499,1.12478981781829,0.101170301662505,0.117162459814177
"SB216763",83,0.079755053616417,0.47354281558206,1.30665256728393,1.03122717919152,-0.0144626307895734,0.213020178437397
"KU-55933",43,0.161214595121395,0.301707577663629,1.21588853506157,0.937501341681832,-0.0494260636189612,0.240766002122256
"Afatinib",542,0.213839261156088,5.03128264370463e-07,1.46394358533087,1.00644411028177,0.0414154666450645,0.126153029291456
"Staurosporine",525,0.234319185500494,5.57468303168531e-08,1.37541680182847,1.07556834625803,0.0522490077504726,0.135446725676804
"PLX-4720",535,0.209676334704001,9.93215853730662e-07,1.3780312662501,1.05746743232378,0.0412846476576431,0.139204470185473
"NU7441",43,0.0526984031354542,0.737159673145776,1.12901870317439,0.852039356474378,-0.0452617791041576,0.203023928045913
"Doramapimod",42,-0.403619208835084,0.00803416740634329,1.19104718554015,0.881697663224539,-0.174466442987149,0.196136734582864
"Wee1 Inhibitor",512,0.391051337487951,3.73000073485291e-20,1.46681498537767,1.10941229619381,0.142942666305116,0.152290399643767
"Nutlin-3a (-)",525,0.397939839334482,2.28792879709685e-21,1.62491726033153,1.21909754665459,0.150626561669841,0.156048094486749
"Mirin",492,0.336486164743957,1.7279637461172e-14,1.17177231394093,0.844807232910479,0.101689299484556,0.140806912360098
"PD173074",514,0.289316888888662,2.2805842332862e-11,1.40265490356916,1.03681049261086,0.077075673226784,0.127500822057157
"ZM447439",43,0.11834149243886,0.449761970659261,1.30082660043172,0.949895975572297,-0.0148645517752568,0.20485613126394
"Alisertib",496,0.374592112469776,5.71976608533426e-18,2.06842153308339,1.6581591255236,0.138614048404977,0.183766028326841
"RO-3306",43,0.214583276961273,0.167029894971298,1.12157558860569,0.85162260951995,0.0401731093045971,0.210464728583667
"MK-2206",524,0.313631152913684,2.00575429338084e-13,1.57601870968758,1.23181293665335,0.0979643847358754,0.158964771332252
"Palbociclib",523,0.485484928374009,2.78848963421972e-32,1.40840772548259,1.13162072273608,0.234007068032058,0.138437130187944
"Dactolisib",509,0.272382223911968,4.14023852465859e-10,1.45944842078929,1.15656342578987,0.0662947745158556,0.142501632142131
"Pictilisib",519,0.104253912792782,0.017510070083519,1.34929439273428,1.04667094146053,0.00525308206215336,0.127799044920919
"AZD8055",83,0.0567149060472924,0.610561899384731,1.42419207588852,1.12929462173361,-0.0354473706410685,0.201285434975627
"PD0325901",540,0.23309568582309,4.25895882088155e-08,1.6758129584222,1.30511477196065,0.0496675044778655,0.158512989624016
"Obatoclax Mesylate",492,0.259446993176175,5.20510354689447e-09,1.07355598293964,0.812487650708876,0.0648764765151697,0.137037967167191
"5-Fluorouracil",543,0.3802262925928,4.03747546332038e-20,1.65448402259444,1.33753956307981,0.144201722707951,0.152648096156261
