"","N All","Spearman Correlation All","Spearman P-value All","RMSE","MAE","R2","NRMSE"
"Camptothecin",544,0.515167089694543,3.31794917459937e-38,1.69254750524514,1.31831094943915,0.250173473678183,0.164614210096217
"Vinblastine",507,0.546556835794455,7.89520959348616e-41,1.91990572665408,1.4843369849127,0.282278180258074,0.169644056626616
"Cisplatin",520,0.559438137784254,3.72852493749111e-44,1.62657223129331,1.28565556388361,0.305788160040242,0.167886588154485
"Cytarabine",509,0.621686556888089,9.25431915781947e-56,1.7727126108101,1.41934289665595,0.38382042767164,0.148930676679161
"Docetaxel",539,0.409427874447898,3.35314937387078e-23,2.78838570400558,2.20642714613522,0.134431901154939,0.226216514588385
"Gefitinib",509,0.324385674036078,6.17322534481527e-14,1.17982264773892,0.879856900706725,0.0826514667591896,0.130527425305674
"Navitoclax",509,0.453384131326873,3.59252486724935e-27,1.82912603565257,1.42505044597023,0.190598652528295,0.138408782158723
"Vorinostat",514,0.593322397498459,3.38893385021264e-50,0.92653307137646,0.697293400951358,0.34610720722855,0.125157802128655
"Nilotinib",513,0.565309335644105,1.17182176863064e-44,1.51834989793066,1.07621334938335,0.314382813479249,0.108328970346439
"Olaparib",518,0.536217397195045,6.72869412331406e-40,1.12571407171435,0.895687774280033,0.283998564788328,0.131115734916154
"Axitinib",44,0.0111399752799769,0.942785659843781,1.32148341290584,1.09820997090901,-0.213071431971011,0.222758052877314
"AZD7762",520,0.537942265634527,2.42995491552943e-40,1.28030838329653,0.998358105882804,0.281042014976899,0.104785582038359
"SB216763",83,0.155062667569842,0.161589385487631,1.32499129097105,1.0811088919086,-0.0431381984674308,0.216009892987351
"KU-55933",43,-0.0240756285165839,0.878205502716423,1.33930538426591,1.0070366406366,-0.273278919522925,0.265204575659714
"Afatinib",542,0.351841068495722,3.28636431709257e-17,1.40698708407355,0.999898908681714,0.11574158409372,0.121244892636839
"Staurosporine",525,0.452402596939587,7.53710995619372e-28,1.26654615403815,1.00457256342443,0.196348724816883,0.124725486307103
"PLX-4720",535,0.409093126562129,5.82137865178622e-23,1.28633691742681,1.01203733805742,0.15975107756616,0.129941789751754
"NU7441",43,0.00891237050604459,0.954767232129541,1.19295525013021,0.920072545335597,-0.16700066379344,0.214521212255791
"Doramapimod",42,0.00204296470433308,0.989755155217196,1.25763002181341,0.975277084543345,-0.3094486448201,0.207101321246137
"Wee1 Inhibitor",512,0.52296603638889,2.77537135464513e-37,1.36183182518459,1.02015302559791,0.261235262902938,0.141390642291238
"Nutlin-3a (-)",525,0.615579376005425,7.31712477117045e-56,1.38554635206156,1.04899836055813,0.373377127752615,0.133060232259555
"Mirin",492,0.45804746305084,6.87085382934715e-27,1.10976534074163,0.807735116566799,0.194246088794708,0.133355797209899
"PD173074",514,0.509018362789505,3.13673827558786e-35,1.26306334847222,0.903022202059911,0.251632892877713,0.114812000322168
"ZM447439",43,0.129049343888748,0.409511262664738,1.36710637086134,0.998239170905922,-0.120918093025861,0.215293969286909
"Alisertib",496,0.575998638953177,3.53746552172528e-45,1.8335885071388,1.47187804101668,0.323101673711386,0.162902615425951
"RO-3306",43,0.136677770547532,0.382141347317312,1.19730157399864,0.939163616806884,-0.0938126042484735,0.224674781944646
"MK-2206",524,0.463252332216867,3.10762084523986e-29,1.48234695949469,1.18400252900879,0.202004061012235,0.149516591397475
"Palbociclib",523,0.567590130704675,6.25781533529922e-46,1.33366820509964,1.07392923463186,0.313147378241432,0.131090731466726
