"","N All","Spearman Correlation All","Spearman P-value All","RMSE","MAE","R2","NRMSE"
"Camptothecin",544,0.653014396131857,1.97753025323846e-67,1.51787288098281,1.17140193450841,0.396954793502568,0.14762566164621
"Vinblastine",507,0.643806414593527,1.10447389950409e-60,1.78909814481759,1.38874771885414,0.376746577118183,0.158085817848438
"Cisplatin",520,0.623869004056627,1.96657860139533e-57,1.53815889403817,1.21944215502289,0.379205713983191,0.158761009066419
"Cytarabine",509,0.659129170241175,9.5565692905167e-65,1.71848638438512,1.39999533654996,0.420940995852721,0.144374975689626
"Docetaxel",539,0.458798665447612,2.05004879953606e-29,2.73602913828744,2.16694566536428,0.166631686901907,0.221968924380345
"Gefitinib",509,0.419548062613607,4.04885783680038e-23,1.12806790654796,0.83531757652695,0.161368055376884,0.124801638359674
"Navitoclax",509,0.572809304132503,1.02208739400768e-45,1.68009686558122,1.30904774708416,0.317118569394337,0.127131841404697
"Vorinostat",514,0.644704868596087,1.01373437161562e-61,0.879927366147593,0.658012558420504,0.410235878023982,0.118862217207509
"Nilotinib",513,0.648125239003441,1.89609370769324e-62,1.42643906504222,1.02073246526891,0.394875948927856,0.101771452936217
"Olaparib",518,0.595454854986399,5.13728138673019e-51,1.0768223277885,0.849970927659758,0.344842364190919,0.125421147722794
"Axitinib",44,0.146041655147239,0.34418565635485,1.18757668423102,0.922499550908244,0.0203154310536029,0.200185842090965
"AZD7762",520,0.574693461519182,4.9097064874332e-47,1.24113589008743,0.971603580753446,0.324363658188607,0.101579547809136
"SB216763",83,0.305124062495613,0.00503362083686204,1.23862700248395,0.978087134467423,0.0884155911075968,0.201930147074187
"KU-55933",43,0.18724983037673,0.229221276109495,1.17083819821224,0.899636828195176,0.0268986282311696,0.231845291724305
"Afatinib",542,0.409042455728842,2.81559732093373e-23,1.37686379421532,0.949765715923116,0.152062787184491,0.11864906564875
"Staurosporine",525,0.48458431930391,2.87309433023151e-32,1.24328697778586,0.958776718274789,0.225594610286217,0.122434995700092
"PLX-4720",535,0.528822906858208,7.04313017113492e-40,1.20524691419482,0.941121504418411,0.266629231142862,0.121750327617542
"NU7441",43,-0.012847535286903,0.934831434199679,1.12782892919598,0.90450773319895,-0.0430599201127975,0.202809978900604
"Doramapimod",42,0.203313479220367,0.196566755862101,1.0789457704791,0.776783157616369,0.0362111182732942,0.177676336238342
"Wee1 Inhibitor",512,0.593608067686249,4.58331121385483e-50,1.28996511935644,0.963410323702778,0.337150194214527,0.133929163194859
